task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.9371069182389937,0.9370625734104064,0.6276205450733753,0.5848000599167987,0.30948637316561844,0.13966244725738397,0.13966244725738397,0.9295073375262054,2,4398,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.9371069182389937,0.9370625734104064,0.6328616352201258,0.563787894620925,0.3042452830188679,0.08987341772151898,0.08987341772151898,0.9295073375262054,2,4398,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.9371069182389937,0.9370625734104064,0.6294549266247379,0.5598773731262535,0.3076519916142558,0.09282700421940929,0.09282700421940929,0.9295073375262054,2,4398,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.9371069182389937,0.9370625734104064,0.7282494758909853,0.7182587448911265,0.2088574423480084,0.10421940928270042,0.10421940928270042,0.9295073375262054,2,4398,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.9371069182389937,0.9370625734104064,0.9261006289308176,0.9260088775675817,0.011006289308176154,0.007594936708860759,0.007594936708860759,0.9295073375262054,2,4398,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.9371069182389937,0.9370625734104064,0.5731132075471698,0.5485556160974913,0.36399371069182396,0.2430379746835443,0.2430379746835443,0.9295073375262054,2,4398,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.9371069182389937,0.9370625734104064,0.5636792452830188,0.4875650562211917,0.3734276729559749,0.15864978902953586,0.15864978902953586,0.9295073375262054,2,4398,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.9371069182389937,0.9370625734104064,0.5720649895178197,0.496206233522283,0.365041928721174,0.15063291139240506,0.15063291139240506,0.9295073375262054,2,4398,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.9371069182389937,0.9370625734104064,0.7224842767295597,0.7082089023139964,0.214622641509434,0.08987341772151898,0.08987341772151898,0.9295073375262054,2,4398,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.9371069182389937,0.9370625734104064,0.9255765199161425,0.9254706994494025,0.011530398322851187,0.007594936708860759,0.007594936708860759,0.9295073375262054,2,4398,,,,,,,175.0
