task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.9266247379454927,0.9264369307765888,0.6616876310272537,0.6312494613508863,0.264937106918239,0.09345391903531439,0.8705450733752621,6,4398,2322,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.9266247379454927,0.9264369307765888,0.684748427672956,0.6402355049366028,0.24187631027253675,0.21188630490956073,0.8705450733752621,6,4398,2322,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.9266247379454927,0.9264369307765888,0.6826519916142557,0.6370071958190163,0.243972746331237,0.21877691645133507,0.8705450733752621,6,4398,2322,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.9266247379454927,0.9264369307765888,0.8946540880503144,0.8944214868587484,0.03197064989517828,0.05254091300602928,0.8705450733752621,6,4398,2322,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.9266247379454927,0.9264369307765888,0.9195492662473794,0.9193498432908297,0.007075471698113289,0.011627906976744186,0.8705450733752621,6,4398,2322,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.9266247379454927,0.9264369307765888,0.6315513626834381,0.5828227883168818,0.29507337526205457,0.13910422049956933,0.8705450733752621,6,4398,2322,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.9266247379454927,0.9264369307765888,0.6291928721174004,0.5482807675442727,0.29743186582809233,0.3505598621877692,0.8705450733752621,6,4398,2322,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.9266247379454927,0.9264369307765888,0.6284067085953878,0.5472539113207083,0.2982180293501049,0.36089577950043067,0.8705450733752621,6,4398,2322,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.9266247379454927,0.9264369307765888,0.8909853249475891,0.8908921337993423,0.03563941299790363,0.05857019810508183,0.8705450733752621,6,4398,2322,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.9266247379454927,0.9264369307765888,0.9195492662473794,0.9193498432908297,0.007075471698113289,0.011627906976744186,0.8705450733752621,6,4398,2322,,,,,,,175.0
