task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
multi_source_to_any,DT,BBA,0.05,0.8970780922431866,0.8970268300748028,0.00039308176100628933,0.00037693052504243177,0.8966850104821803,0.9993296086372574,0.36188181339569936,0.8382468553459119,4398.0
multi_source_to_any,DT,BBA,0.1,0.8970780922431866,0.8970268300748028,0.0,0.0,0.8970780922431866,1.0,0.42647870319673375,0.8382468553459119,4398.0
multi_source_to_any,DT,BBA,0.2,0.8970780922431866,0.8970268300748028,0.0,0.0,0.8970780922431866,1.0,0.4222222396991032,0.8382468553459119,4398.0
multi_source_to_any,DT,BBA,0.3,0.8970780922431866,0.8970268300748028,0.0,0.0,0.8970780922431866,1.0,0.43680148556294884,0.8382468553459119,4398.0
multi_source_to_any,DT,DBA-style,0.05,0.8970780922431866,0.8970268300748028,0.06099318658280922,0.05053528515843912,0.8360849056603774,0.9092093361297238,0.44777578030474163,0.8382468553459119,4398.0
multi_source_to_any,DT,DBA-style,0.1,0.8970780922431866,0.8970268300748028,0.05260744234800839,0.04276818878520159,0.8444706498951782,0.9200698514657781,0.4673487256069339,0.8382468553459119,4398.0
multi_source_to_any,DT,DBA-style,0.2,0.8970780922431866,0.8970268300748028,0.04821802935010482,0.039089540000367844,0.8488600628930818,0.9260043244883407,0.46790837005724883,0.8382468553459119,4398.0
multi_source_to_any,DT,DBA-style,0.3,0.8970780922431866,0.8970268300748028,0.0454664570230608,0.0368367301006384,0.8516116352201258,0.9298080975428373,0.4694767455022699,0.8382468553459119,4398.0
multi_source_to_any,DT,FGSM-SNN,0.05,0.8970780922431866,0.8970268300748028,0.39255765199161424,0.37641394742534234,0.5045204402515724,0.657850461677964,0.27383988457938535,0.8382468553459119,4398.0
multi_source_to_any,DT,FGSM-SNN,0.1,0.8970780922431866,0.8970268300748028,0.36759696016771487,0.3451013505120873,0.5294811320754718,0.6949555678483852,0.33664996117954643,0.8382468553459119,4398.0
multi_source_to_any,DT,FGSM-SNN,0.2,0.8970780922431866,0.8970268300748028,0.3735587002096436,0.345064568312623,0.523519392033543,0.6762941302865174,0.3557188671587397,0.8382468553459119,4398.0
multi_source_to_any,DT,FGSM-SNN,0.3,0.8970780922431866,0.8970268300748028,0.3696278825995807,0.34495737682268185,0.5274502096436059,0.6780629321033065,0.34989650351936497,0.8382468553459119,4398.0
multi_source_to_any,DT,PGD-10-SNN,0.05,0.8970780922431866,0.8970268300748028,0.4273453878406709,0.41780223236142433,0.46973270440251574,0.6492101253191571,0.24738247089342988,0.8382468553459119,4398.0
multi_source_to_any,DT,PGD-10-SNN,0.1,0.8970780922431866,0.8970268300748028,0.36936582809224316,0.3569987906582579,0.5277122641509434,0.6701120128230444,0.2792519977136253,0.8382468553459119,4398.0
multi_source_to_any,DT,PGD-10-SNN,0.2,0.8970780922431866,0.8970268300748028,0.3290094339622641,0.3193218666718293,0.5680686582809225,0.6901962051350335,0.2886582599621921,0.8382468553459119,4398.0
