task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.9224318658280922,0.9220750176847837,0.5946016771488469,0.5115092396425941,0.3278301886792453,0.1079136690647482,0.1079136690647482,0.9337002096436059,2,3945,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.9224318658280922,0.9220750176847837,0.6079664570230608,0.5114851760227822,0.3144654088050314,0.07871349978840457,0.07871349978840457,0.9337002096436059,2,3945,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.9224318658280922,0.9220750176847837,0.6116352201257862,0.5149912292403013,0.31079664570230603,0.0761743546339399,0.0761743546339399,0.9337002096436059,2,3945,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.9224318658280922,0.9220750176847837,0.7188155136268344,0.7005121836217006,0.20361635220125784,0.07448159119763013,0.07448159119763013,0.9337002096436059,2,3945,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.9224318658280922,0.9220750176847837,0.9119496855345912,0.911475986702057,0.010482180293501009,0.006771053745239103,0.006771053745239103,0.9337002096436059,2,3945,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.9224318658280922,0.9220750176847837,0.5487421383647799,0.4801334372360885,0.3736897274633123,0.17900973338975879,0.17900973338975879,0.9337002096436059,2,3945,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.9224318658280922,0.9220750176847837,0.6116352201257862,0.5053421816708348,0.31079664570230603,0.07109606432501057,0.07109606432501057,0.9337002096436059,2,3945,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.9224318658280922,0.9220750176847837,0.6048218029350105,0.5012912830796342,0.3176100628930817,0.08209902666102412,0.08209902666102412,0.9337002096436059,2,3945,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.9224318658280922,0.9220750176847837,0.6910377358490566,0.6705635582146343,0.23139412997903563,0.09564113415150233,0.09564113415150233,0.9337002096436059,2,3945,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.9224318658280922,0.9220750176847837,0.9116876310272537,0.9112038429569793,0.010744234800838526,0.006771053745239103,0.006771053745239103,0.9337002096436059,2,3945,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.9224318658280922,0.9220750176847837,0.5723270440251572,0.4913880914521096,0.350104821802935,0.1396529834955565,0.1396529834955565,0.9337002096436059,2,3945,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.9224318658280922,0.9220750176847837,0.6053459119496856,0.5015739812345595,0.31708595387840666,0.07786711807024968,0.07786711807024968,0.9337002096436059,2,3945,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.9224318658280922,0.9220750176847837,0.6040356394129979,0.4985801844770402,0.31839622641509435,0.07829030892932713,0.07829030892932713,0.9337002096436059,2,3945,20.0,19.0,0.015789473684210527,,,,
