task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
binary,DT,BBA,0.05,0.9035639412997905,0.9036232929244874,0.03701519916142557,0.04492442625730065,0.8665487421383649,0.9388998005816407,0.9388998005816407,0.9027777777777778,3945.0
binary,DT,BBA,0.1,0.9035639412997905,0.9036232929244874,0.029808700209643605,0.03651929538322899,0.8737552410901468,0.9507502067183248,0.9507502067183248,0.9027777777777778,3945.0
binary,DT,BBA,0.2,0.9035639412997905,0.9036232929244874,0.02142295597484277,0.026654160258961605,0.8821409853249476,0.9643412790913755,0.9643412790913755,0.9027777777777778,3945.0
binary,DT,BBA,0.3,0.9035639412997905,0.9036232929244874,0.01906446540880503,0.023743830270332163,0.8844994758909854,0.968248806762194,0.968248806762194,0.9027777777777778,3945.0
binary,DT,DBA-style,0.05,0.9035639412997905,0.9036232929244874,0.2757468553459119,0.2863751843119741,0.6278170859538784,0.5690634417226319,0.5690634417226319,0.9027777777777778,3945.0
binary,DT,DBA-style,0.1,0.9035639412997905,0.9036232929244874,0.24731394129979034,0.25928857961841456,0.65625,0.6121225701026147,0.6121225701026147,0.9027777777777778,3945.0
binary,DT,DBA-style,0.2,0.9035639412997905,0.9036232929244874,0.2181603773584906,0.23270881394812876,0.6854035639412999,0.6542838835449525,0.6542838835449525,0.9027777777777778,3945.0
binary,DT,DBA-style,0.3,0.9035639412997905,0.9036232929244874,0.20767819706498952,0.22229913151087038,0.6958857442348009,0.6671558510350722,0.6671558510350722,0.9027777777777778,3945.0
binary,DT,FGSM-SNN,0.05,0.9035639412997905,0.9036232929244874,0.44025157232704404,0.4464055353318407,0.4633123689727464,0.45977122028814643,0.45977122028814643,0.9027777777777778,3945.0
binary,DT,FGSM-SNN,0.1,0.9035639412997905,0.9036232929244874,0.43442085953878407,0.4410924916404997,0.46914308176100633,0.47070545025507615,0.47070545025507615,0.9027777777777778,3945.0
binary,DT,FGSM-SNN,0.2,0.9035639412997905,0.9036232929244874,0.43625524109014674,0.44425410414154015,0.46730870020964366,0.4710364530431439,0.4710364530431439,0.9027777777777778,3945.0
