task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.6737421383647799,0.5648213165699509,0.5820230607966457,0.5043092617616634,0.09171907756813424,0.1354292623941959,0.1354292623941959,0.975104821802935,2,453,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.6737421383647799,0.5648213165699509,0.6312893081761006,0.5178544449973814,0.04245283018867929,0.04393389762192664,0.04393389762192664,0.975104821802935,2,453,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.6737421383647799,0.5648213165699509,0.6381027253668763,0.5214902051580792,0.03563941299790363,0.03345425231761386,0.03345425231761386,0.975104821802935,2,453,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.6737421383647799,0.5648213165699509,0.6475366876310272,0.5120967728489689,0.02620545073375269,0.004030632809351068,0.004030632809351068,0.975104821802935,2,453,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.6737421383647799,0.5648213165699509,0.6729559748427673,0.5635794381221101,0.0007861635220126617,0.00040306328093510683,0.00040306328093510683,0.975104821802935,2,453,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.6737421383647799,0.5648213165699509,0.4001572327044025,0.38526967226603165,0.2735849056603774,0.4135429262394196,0.4135429262394196,0.975104821802935,2,453,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.6737421383647799,0.5648213165699509,0.5822851153039832,0.48829389382064775,0.09145702306079673,0.11567916162837566,0.11567916162837566,0.975104821802935,2,453,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.6737421383647799,0.5648213165699509,0.6045597484276729,0.500390933785504,0.06918238993710701,0.08141878274889158,0.08141878274889158,0.975104821802935,2,453,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.6737421383647799,0.5648213165699509,0.5369496855345912,0.45519417501755965,0.1367924528301887,0.17412333736396615,0.17412333736396615,0.975104821802935,2,453,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.6737421383647799,0.5648213165699509,0.6729559748427673,0.5635794381221101,0.0007861635220126617,0.00040306328093510683,0.00040306328093510683,0.975104821802935,2,453,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.6737421383647799,0.5648213165699509,0.4525681341719078,0.42246862946558617,0.22117400419287214,0.33413945989520355,0.33413945989520355,0.975104821802935,2,453,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.6737421383647799,0.5648213165699509,0.5455974842767296,0.46838137193543233,0.1281446540880503,0.1717049576783555,0.1717049576783555,0.975104821802935,2,453,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.6737421383647799,0.5648213165699509,0.5521488469601677,0.4714814280502327,0.12159329140461217,0.16122531237404272,0.16122531237404272,0.975104821802935,2,453,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.6737421383647799,0.5648213165699509,0.3805031446540881,0.3591233172399631,0.29323899371069184,0.4147521160822249,0.4147521160822249,0.975104821802935,2,453,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.6737421383647799,0.5648213165699509,0.6729559748427673,0.5635794381221101,0.0007861635220126617,0.00040306328093510683,0.00040306328093510683,0.975104821802935,2,453,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.6737421383647799,0.5648213165699509,0.40068134171907754,0.3856474561008032,0.2730607966457024,0.4127367996775494,0.4127367996775494,0.975104821802935,2,453,,,,,,,
binary,1,RF,PGD-10-SNN,0.3,0.6737421383647799,0.5648213165699509,0.5351153039832285,0.4644347953872364,0.13862683438155143,0.19064893188230553,0.19064893188230553,0.975104821802935,2,453,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.3,0.6737421383647799,0.5648213165699509,0.5369496855345912,0.46521123117449614,0.1367924528301887,0.18742442563482467,0.18742442563482467,0.975104821802935,2,453,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.3,0.6737421383647799,0.5648213165699509,0.37368972746331236,0.3544420688568464,0.30005241090146756,0.4252317613865377,0.4252317613865377,0.975104821802935,2,453,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.3,0.6737421383647799,0.5648213165699509,0.6729559748427673,0.5635794381221101,0.0007861635220126617,0.00040306328093510683,0.00040306328093510683,0.975104821802935,2,453,,,,,,,175.0
binary,1,DT,FGSM-SNN,0.05,0.6713836477987422,0.5637912227365077,0.5125786163522013,0.46169926340604106,0.1588050314465409,0.23998381222177256,0.23998381222177256,0.9722222222222222,2,453,,,,,,,
binary,1,DT,PGD-10-SNN,0.05,0.6713836477987422,0.5637912227365077,0.5034067085953878,0.4470927390852546,0.16797693920335433,0.2403885066774585,0.2403885066774585,0.9722222222222222,2,453,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.05,0.6713836477987422,0.5637912227365077,0.535377358490566,0.4663530510578619,0.13600628930817615,0.19182517199514368,0.19182517199514368,0.9722222222222222,2,453,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.05,0.6713836477987422,0.5637912227365077,0.4143081761006289,0.3816824627704886,0.25707547169811323,0.3601780655605018,0.3601780655605018,0.9722222222222222,2,453,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.05,0.6713836477987422,0.5637912227365077,0.38469601677148846,0.36198118762071174,0.2866876310272537,0.405908539053015,0.405908539053015,0.9722222222222222,2,453,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.1,0.6713836477987422,0.5637912227365077,0.4640985324947589,0.43004496183687996,0.20728511530398325,0.3160663698907325,0.3160663698907325,0.9722222222222222,2,453,,,,,,,
binary,1,DT,PGD-10-SNN,0.1,0.6713836477987422,0.5637912227365077,0.4753668763102725,0.4305706161594255,0.19601677148846963,0.2857142857142857,0.2857142857142857,0.9722222222222222,2,453,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.1,0.6713836477987422,0.5637912227365077,0.5138888888888888,0.4545619979641321,0.15749475890985332,0.22703358963982193,0.22703358963982193,0.9722222222222222,2,453,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.1,0.6713836477987422,0.5637912227365077,0.37368972746331236,0.3544420688568464,0.2976939203354298,0.42290570619182516,0.42290570619182516,0.9722222222222222,2,453,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.1,0.6713836477987422,0.5637912227365077,0.38181341719077566,0.3600182647966123,0.2895702306079665,0.4103601780655605,0.4103601780655605,0.9722222222222222,2,453,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.2,0.6713836477987422,0.5637912227365077,0.6121593291404612,0.5222277677196566,0.05922431865828093,0.08822339133953865,0.08822339133953865,0.9722222222222222,2,453,,,,,,,
binary,1,DT,PGD-10-SNN,0.2,0.6713836477987422,0.5637912227365077,0.5175576519916143,0.4559748351236228,0.15382599580712786,0.21934439498178876,0.21934439498178876,0.9722222222222222,2,453,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.2,0.6713836477987422,0.5637912227365077,0.5387840670859538,0.46866135280808113,0.13259958071278832,0.18696883852691218,0.18696883852691218,0.9722222222222222,2,453,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.2,0.6713836477987422,0.5637912227365077,0.37368972746331236,0.3544420688568464,0.2976939203354298,0.42290570619182516,0.42290570619182516,0.9722222222222222,2,453,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.2,0.6713836477987422,0.5637912227365077,0.3778825995807128,0.3573283159215109,0.29350104821802936,0.4164305949008499,0.4164305949008499,0.9722222222222222,2,453,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.3,0.6713836477987422,0.5637912227365077,0.6664046121593291,0.5538466804775463,0.004979035639413043,0.004856333468231485,0.004856333468231485,0.9722222222222222,2,453,,,,,,,
binary,1,DT,PGD-10-SNN,0.3,0.6713836477987422,0.5637912227365077,0.5311844863731656,0.4618310962469669,0.14019916142557654,0.1954674220963173,0.1954674220963173,0.9722222222222222,2,453,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.3,0.6713836477987422,0.5637912227365077,0.5513626834381551,0.47325713772402095,0.12002096436058707,0.16390125455281263,0.16390125455281263,0.9722222222222222,2,453,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.3,0.6713836477987422,0.5637912227365077,0.37368972746331236,0.3544420688568464,0.2976939203354298,0.42290570619182516,0.42290570619182516,0.9722222222222222,2,453,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.3,0.6713836477987422,0.5637912227365077,0.3778825995807128,0.3573283159215109,0.29350104821802936,0.4164305949008499,0.4164305949008499,0.9722222222222222,2,453,,,,,,,105.0
