task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
binary,DT,BBA,0.05,0.6702044025157232,0.5601917460127253,0.41535639412997905,0.38254044196190445,0.25484800838574423,0.3599480305790822,0.3599480305790822,0.9749737945492662,453.0
binary,DT,BBA,0.1,0.6702044025157232,0.5601917460127253,0.3796514675052411,0.3585316359288248,0.2905529350104822,0.4144132039668144,0.4144132039668144,0.9749737945492662,453.0
binary,DT,BBA,0.2,0.6702044025157232,0.5601917460127253,0.3796514675052411,0.3585316359288248,0.2905529350104822,0.4144132039668144,0.4144132039668144,0.9749737945492662,453.0
binary,DT,BBA,0.3,0.6702044025157232,0.5601917460127253,0.3796514675052411,0.3585316359288248,0.2905529350104822,0.4144132039668144,0.4144132039668144,0.9749737945492662,453.0
binary,DT,DBA-style,0.05,0.6702044025157232,0.5601917460127253,0.39052672955974843,0.3659172071557658,0.27967767295597484,0.39764083974991,0.39764083974991,0.9749737945492662,453.0
binary,DT,DBA-style,0.1,0.6702044025157232,0.5601917460127253,0.38823375262054505,0.36436770114469585,0.2819706498951782,0.4011800772581309,0.4011800772581309,0.9749737945492662,453.0
binary,DT,DBA-style,0.2,0.6702044025157232,0.5601917460127253,0.3871200209643606,0.3636065119557983,0.2830843815513627,0.40289994683912145,0.40289994683912145,0.9749737945492662,453.0
binary,DT,DBA-style,0.3,0.6702044025157232,0.5601917460127253,0.3871200209643606,0.3636065119557983,0.2830843815513627,0.40289994683912145,0.40289994683912145,0.9749737945492662,453.0
binary,DT,FGSM-SNN,0.05,0.6702044025157232,0.5601917460127253,0.5795335429769392,0.5023594407155605,0.0906708595387841,0.13769420902043583,0.13769420902043583,0.9749737945492662,453.0
binary,DT,FGSM-SNN,0.1,0.6702044025157232,0.5601917460127253,0.6041011530398323,0.5164409844221591,0.06610324947589101,0.1004027491336188,0.1004027491336188,0.9749737945492662,453.0
binary,DT,FGSM-SNN,0.2,0.6702044025157232,0.5601917460127253,0.6515330188679245,0.5455619097864808,0.018671383647798745,0.02750216322722237,0.02750216322722237,0.9749737945492662,453.0
binary,DT,FGSM-SNN,0.3,0.6702044025157232,0.5601917460127253,0.667583857442348,0.5548112607698693,0.00262054507337528,0.002726790103645205,0.002726790103645205,0.9749737945492662,453.0
binary,DT,PGD-10-SNN,0.05,0.6702044025157232,0.5601917460127253,0.5540487421383647,0.47455968995845743,0.1161556603773585,0.16194215267584364,0.16194215267584364,0.9749737945492662,453.0
binary,DT,PGD-10-SNN,0.1,0.6702044025157232,0.5601917460127253,0.5444182389937107,0.4686813259908512,0.12578616352201258,0.17653299180033544,0.17653299180033544,0.9749737945492662,453.0
binary,DT,PGD-10-SNN,0.2,0.6702044025157232,0.5601917460127253,0.542583857442348,0.46773743397863776,0.12762054507337528,0.17773754123303304,0.17773754123303304,0.9749737945492662,453.0
binary,DT,PGD-10-SNN,0.3,0.6702044025157232,0.5601917460127253,0.5499868972746331,0.47069930655622283,0.12021750524109015,0.16490436667407138,0.16490436667407138,0.9749737945492662,453.0
binary,DT,PGD-20-SNN,0.05,0.6702044025157232,0.5601917460127253,0.575733752620545,0.48755770942546656,0.0944706498951782,0.12892139691537327,0.12892139691537327,0.9749737945492662,453.0
binary,DT,PGD-20-SNN,0.1,0.6702044025157232,0.5601917460127253,0.5518867924528301,0.47352961415279926,0.1183176100628931,0.16479538010784794,0.16479538010784794,0.9749737945492662,453.0
binary,DT,PGD-20-SNN,0.2,0.6702044025157232,0.5601917460127253,0.5532625786163522,0.473897411418619,0.11694182389937108,0.16156825421551574,0.16156825421551574,0.9749737945492662,453.0
binary,DT,PGD-20-SNN,0.3,0.6702044025157232,0.5601917460127253,0.5569968553459119,0.47486249480782955,0.11320754716981132,0.15428962679096148,0.15428962679096148,0.9749737945492662,453.0
binary,LightGBM,BBA,0.05,0.6732835429769393,0.5626014544530716,0.6401336477987422,0.5086421570698019,0.03314989517819708,0.01680623814737058,0.01680623814737058,0.9772667714884696,453.0
binary,LightGBM,BBA,0.1,0.6732835429769393,0.5626014544530716,0.4659329140461216,0.41343036440780023,0.20735062893081763,0.284270897520759,0.284270897520759,0.9772667714884696,453.0
binary,LightGBM,BBA,0.2,0.6732835429769393,0.5626014544530716,0.38004454926624737,0.3587998656986608,0.29323899371069184,0.41622429387413307,0.41622429387413307,0.9772667714884696,453.0
binary,LightGBM,BBA,0.3,0.6732835429769393,0.5626014544530716,0.3796514675052411,0.3585316359288248,0.2936320754716981,0.4168281586084326,0.4168281586084326,0.9772667714884696,453.0
binary,LightGBM,DBA-style,0.05,0.6732835429769393,0.5626014544530716,0.6703354297693921,0.557610454002858,0.0029481132075471483,0.0012078108615307494,0.0012078108615307494,0.9772667714884696,453.0
binary,LightGBM,DBA-style,0.1,0.6732835429769393,0.5626014544530716,0.66895964360587,0.5562029589761053,0.004323899371069195,0.002718486486385722,0.002718486486385722,0.9772667714884696,453.0
binary,LightGBM,DBA-style,0.2,0.6732835429769393,0.5626014544530716,0.6673218029350105,0.5550454251158574,0.005961740041928731,0.005034963884004595,0.005034963884004595,0.9772667714884696,453.0
binary,LightGBM,DBA-style,0.3,0.6732835429769393,0.5626014544530716,0.6673873165618449,0.5552834859835831,0.005896226415094352,0.005135527037665094,0.005135527037665094,0.9772667714884696,453.0
binary,LightGBM,FGSM-SNN,0.05,0.6732835429769393,0.5626014544530716,0.6673873165618449,0.5546874915110552,0.0058962264150943244,0.004527162977867203,0.004527162977867203,0.9772667714884696,453.0
binary,LightGBM,FGSM-SNN,0.1,0.6732835429769393,0.5626014544530716,0.6422300838574424,0.5433666399299709,0.031053459119496862,0.04678068410462777,0.04678068410462777,0.9772667714884696,453.0
binary,LightGBM,FGSM-SNN,0.2,0.6732835429769393,0.5626014544530716,0.6385613207547169,0.5426942159052581,0.03472222222222221,0.054929577464788736,0.054929577464788736,0.9772667714884696,453.0
binary,LightGBM,FGSM-SNN,0.3,0.6732835429769393,0.5626014544530716,0.6566430817610063,0.5541079165614884,0.016640461215932906,0.027364185110663984,0.027364185110663984,0.9772667714884696,453.0
binary,LightGBM,PGD-10-SNN,0.05,0.6732835429769393,0.5626014544530716,0.6538915094339622,0.5257711666396581,0.019392033542976944,0.005332113649324327,0.005332113649324327,0.9772667714884696,453.0
binary,LightGBM,PGD-10-SNN,0.1,0.6732835429769393,0.5626014544530716,0.63666142557652,0.5191935673893142,0.03662211740041929,0.03450955652318053,0.03450955652318053,0.9772667714884696,453.0
binary,LightGBM,PGD-10-SNN,0.2,0.6732835429769393,0.5626014544530716,0.6005634171907757,0.5019862986867841,0.07272012578616355,0.09276559282857184,0.09276559282857184,0.9772667714884696,453.0
binary,LightGBM,PGD-10-SNN,0.3,0.6732835429769393,0.5626014544530716,0.5736373165618449,0.48792702710040625,0.09964622641509432,0.13532357017784105,0.13532357017784105,0.9772667714884696,453.0
binary,LightGBM,PGD-20-SNN,0.05,0.6732835429769393,0.5626014544530716,0.6558569182389937,0.5267563685641209,0.017426624737945512,0.002314004997412859,0.002314004997412859,0.9772667714884696,453.0
binary,LightGBM,PGD-20-SNN,0.1,0.6732835429769393,0.5626014544530716,0.6491745283018868,0.5260622691086118,0.024109014675052415,0.01519366115094713,0.01519366115094713,0.9772667714884696,453.0
binary,LightGBM,PGD-20-SNN,0.2,0.6732835429769393,0.5626014544530716,0.60645964360587,0.5053503578457453,0.0668238993710692,0.08351026219796454,0.08351026219796454,0.9772667714884696,453.0
binary,LightGBM,PGD-20-SNN,0.3,0.6732835429769393,0.5626014544530716,0.57416142557652,0.4877300419932386,0.09912211740041929,0.13391471384738013,0.13391471384738013,0.9772667714884696,453.0
binary,RF,BBA,0.05,0.6721698113207547,0.5607622261491484,0.6462264150943396,0.5119321019397474,0.025943396226415116,0.007247472581860311,0.007247472581860311,0.9777253668763103,453.0
binary,RF,BBA,0.1,0.6721698113207547,0.5607622261491484,0.5387185534591195,0.4554386460602261,0.13345125786163525,0.17205716721408343,0.17205716721408343,0.9777253668763103,453.0
binary,RF,BBA,0.2,0.6721698113207547,0.5607622261491484,0.3873820754716981,0.36378964993967217,0.2847877358490566,0.4046524053068338,0.4046524053068338,0.9777253668763103,453.0
binary,RF,BBA,0.3,0.6721698113207547,0.5607622261491484,0.3802410901467505,0.3589338587294191,0.2919287211740042,0.41562841544523127,0.41562841544523127,0.9777253668763103,453.0
binary,RF,DBA-style,0.05,0.6721698113207547,0.5607622261491484,0.6713181341719078,0.559375194102552,0.0008516771488469854,0.0004028603858080045,0.0004028603858080045,0.9777253668763103,453.0
binary,RF,DBA-style,0.1,0.6721698113207547,0.5607622261491484,0.6713181341719078,0.559375194102552,0.0008516771488469854,0.0004028603858080045,0.0004028603858080045,0.9777253668763103,453.0
binary,RF,DBA-style,0.2,0.6721698113207547,0.5607622261491484,0.6713181341719078,0.559375194102552,0.0008516771488469854,0.0004028603858080045,0.0004028603858080045,0.9777253668763103,453.0
binary,RF,DBA-style,0.3,0.6721698113207547,0.5607622261491484,0.6713181341719078,0.559375194102552,0.0008516771488469854,0.0004028603858080045,0.0004028603858080045,0.9777253668763103,453.0
binary,RF,FGSM-SNN,0.05,0.6721698113207547,0.5607622261491484,0.5976153039832285,0.5094338954267221,0.07455450733752625,0.10673794609950202,0.10673794609950202,0.9777253668763103,453.0
binary,RF,FGSM-SNN,0.1,0.6721698113207547,0.5607622261491484,0.419811320754717,0.3994113069308999,0.25235849056603776,0.38451915881789006,0.38451915881789006,0.9777253668763103,453.0
