task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,Mixed,transfer,BBA,0.05,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.033674004192872115,0.7528170859538784,0.7191430817610063,0.9454832556465494,0.11294642685525094,0.9454832556465494,0.11294642685525094,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,BBA,0.1,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.0037342767295597485,0.7619889937106918,0.7582547169811321,0.9945438373060581,0.10665972021680731,0.9945438373060581,0.10665972021680731,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,BBA,0.2,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.0015723270440251573,0.8217374213836478,0.8201650943396226,0.9979308495406674,0.1076094890005869,0.9979308495406674,0.1076094890005869,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,BBA,0.3,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.0005241090146750524,0.9413653039832285,0.9408411949685535,0.9994529442413156,0.006750836728731319,0.9994529442413156,0.006750836728731319,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,DBA-style,0.05,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.1836346960167715,0.9009433962264151,0.7173087002096437,0.7223916902826452,0.009304230405987973,0.7223916902826452,0.009304230405987973,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,DBA-style,0.1,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.15349842767295596,0.9021226415094339,0.748624213836478,0.7678770920504927,0.012220171194664956,0.7678770920504927,0.012220171194664956,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,DBA-style,0.2,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.1228380503144654,0.908149895178197,0.7853118448637316,0.8122338047986879,0.007701430489012255,0.8122338047986879,0.007701430489012255,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,DBA-style,0.3,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.11661425576519915,0.91208071278826,0.7954664570230608,0.8181624603021469,0.006716787976619932,0.8181624603021469,0.006716787976619932,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.05,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.3567872117400419,0.7019129979035639,0.345125786163522,0.6277195287890064,0.1194644549485105,0.6277195287890064,0.1194644549485105,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.1,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.2684748427672956,0.8044418238993711,0.5359669811320755,0.761255604602506,0.060909803237341215,0.761255604602506,0.060909803237341215,0.8888233752620545,0.8938679245283019,716.0
