task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.5201781970649895,0.44949646704980967,0.16945323090826933,0.16945323090826933,1.0,1.0,0.0,0.0,0.47982180293501053,0.5201781970649895,0.16945323090826933,0.16945323090826933,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.5521488469601677,0.4714814280502327,0.11206507004066878,0.11206507004066878,1.0,1.0,0.0,0.0,0.44785115303983225,0.5521488469601677,0.11206507004066878,0.11206507004066878,10.0,10.0,0.005,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.5476939203354297,0.4654097036994057,0.11568007230004519,0.11568007230004519,1.0,1.0,0.0,0.0,0.45230607966457026,0.5476939203354297,0.11568007230004519,0.11568007230004519,20.0,19.0,0.002631578947368421,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.05,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.4648846960167715,0.416512216854411,0.20379575237234523,0.20379575237234523,0.6483228511530398,0.6068447834714656,0.02183803457688808,0.02183803457688808,0.18343815513626827,0.4648846960167715,0.20379575237234523,0.20379575237234523,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.05,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.7790880503144654,0.7778778623523253,0.05377315860822413,0.05377315860822413,0.8165618448637316,0.8159282565122239,0.021383075523202913,0.021383075523202913,0.03747379454926625,0.7790880503144654,0.05377315860822413,0.05377315860822413,,,,,,,175.0
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.3710691823899371,0.36551632433482467,0.4464527790329869,0.4464527790329869,1.0,1.0,0.0,0.0,0.628930817610063,0.3710691823899371,0.4464527790329869,0.4464527790329869,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.4910901467505241,0.44024018694695904,0.23407139629462267,0.23407139629462267,1.0,1.0,0.0,0.0,0.5089098532494759,0.4910901467505241,0.23407139629462267,0.23407139629462267,10.0,10.0,0.01,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.4942348008385744,0.4446844044377894,0.23136014460009038,0.23136014460009038,1.0,1.0,0.0,0.0,0.5057651991614256,0.4942348008385744,0.23136014460009038,0.23136014460009038,20.0,19.0,0.005263157894736842,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.1,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.445230607966457,0.4013937593489074,0.23226389516493448,0.23226389516493448,0.6223794549266247,0.5706639304720348,0.030482256596906277,0.030482256596906277,0.1771488469601677,0.445230607966457,0.23226389516493448,0.23226389516493448,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.1,0.8674004192872118,0.8678449272084983,0.8658280922431866,0.8665294709064277,0.0015723270440252124,0.8689727463312369,0.8794549266247379,0.3,22896,2,716,0.7785639412997903,0.7773508821918326,0.05422503389064618,0.05422503389064618,0.8165618448637316,0.8159628263030928,0.021383075523202913,0.021383075523202913,0.03799790356394128,0.7785639412997903,0.05422503389064618,0.05422503389064618,,,,,,,175.0
