task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features,time_window
binary,DT,BBA,0.05,0.8489910901467506,0.8506655323554194,0.09774633123689727,0.11376159921558525,0.7512447589098532,0.8292707733393042,0.8292707733393042,0.8792583857442348,716.0, (1hours)
binary,DT,BBA,0.1,0.8489910901467506,0.8506655323554194,0.059420859538784065,0.07233070117094584,0.7895702306079664,0.8935888107188918,0.8935888107188918,0.8792583857442348,716.0, (1hours)
binary,DT,BBA,0.2,0.8489910901467506,0.8506655323554194,0.008385744234800839,0.010813220448567166,0.8406053459119497,0.9849047097729627,0.9849047097729627,0.8792583857442348,716.0, (1hours)
binary,DT,BBA,0.3,0.8489910901467506,0.8506655323554194,0.004454926624737946,0.005772109323249604,0.8445361635220126,0.9919778703997073,0.9919778703997073,0.8792583857442348,716.0, (1hours)
binary,DT,DBA-style,0.05,0.8489910901467506,0.8506655323554194,0.10809748427672956,0.1234269853464032,0.740893605870021,0.8310430629228521,0.8310430629228521,0.8792583857442348,716.0, (1hours)
binary,DT,DBA-style,0.1,0.8489910901467506,0.8506655323554194,0.09329140461215933,0.10937528336305619,0.7556996855345912,0.8433200824403922,0.8433200824403922,0.8792583857442348,716.0, (1hours)
binary,DT,DBA-style,0.2,0.8489910901467506,0.8506655323554194,0.07724056603773585,0.09247201520369278,0.7717505241090147,0.8634974947702165,0.8634974947702165,0.8792583857442348,716.0, (1hours)
binary,DT,DBA-style,0.3,0.8489910901467506,0.8506655323554194,0.07547169811320754,0.09074355727080832,0.773519392033543,0.8650187184477429,0.8650187184477429,0.8792583857442348,716.0, (1hours)
binary,DT,FGSM-SNN,0.05,0.8489910901467506,0.8506655323554194,0.46606394129979034,0.4650012058336812,0.38292714884696016,0.4333794446395781,0.4333794446395781,0.8792583857442348,716.0, (1hours)
binary,DT,FGSM-SNN,0.1,0.8489910901467506,0.8506655323554194,0.4292452830188679,0.4280414336042484,0.41974580712788256,0.45628148132332985,0.45628148132332985,0.8792583857442348,716.0, (1hours)
binary,DT,FGSM-SNN,0.2,0.8489910901467506,0.8506655323554194,0.35862159329140464,0.3622764323940651,0.4903694968553459,0.5396764927566685,0.5396764927566685,0.8792583857442348,716.0, (1hours)
binary,DT,FGSM-SNN,0.3,0.8489910901467506,0.8506655323554194,0.34997379454926625,0.3404267773124603,0.49901729559748426,0.5537076159808165,0.5537076159808165,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-10-SNN,0.05,0.8489910901467506,0.8506655323554194,0.4511268343815514,0.4502319698632739,0.3978642557651991,0.4046580529990159,0.4046580529990159,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-10-SNN,0.1,0.8489910901467506,0.8506655323554194,0.4114910901467505,0.4010691533328169,0.4375,0.42890085938949674,0.42890085938949674,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-10-SNN,0.2,0.8489910901467506,0.8506655323554194,0.359211215932914,0.34812038882394025,0.4897798742138365,0.5064884743636853,0.5064884743636853,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-10-SNN,0.3,0.8489910901467506,0.8506655323554194,0.375851677148847,0.35811488195250957,0.4731394129979035,0.49664601372318284,0.49664601372318284,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-20-SNN,0.05,0.8489910901467506,0.8506655323554194,0.449685534591195,0.44899213296012036,0.3993055555555555,0.40537843469531515,0.40537843469531515,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-20-SNN,0.1,0.8489910901467506,0.8506655323554194,0.4125393081761006,0.40205698779463805,0.4364517819706499,0.42760448546488555,0.42760448546488555,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-20-SNN,0.2,0.8489910901467506,0.8506655323554194,0.3660901467505241,0.3536471148309483,0.4829009433962264,0.4951536241044546,0.4951536241044546,0.8792583857442348,716.0, (1hours)
binary,DT,PGD-20-SNN,0.3,0.8489910901467506,0.8506655323554194,0.3949816561844864,0.3718536635876011,0.4540094339622641,0.46594194030952407,0.46594194030952407,0.8792583857442348,716.0, (1hours)
binary,LightGBM,BBA,0.05,0.8626834381551363,0.8632459394031785,0.2095125786163522,0.2252110302470616,0.6531708595387841,0.6364572040761155,0.6364572040761155,0.8797824947589099,716.0, (1hours)
binary,LightGBM,BBA,0.1,0.8626834381551363,0.8632459394031785,0.04304245283018868,0.05323242253423344,0.8196409853249476,0.9253150647547407,0.9253150647547407,0.8797824947589099,716.0, (1hours)
binary,LightGBM,BBA,0.2,0.8626834381551363,0.8632459394031785,0.015461215932914047,0.01976780889353248,0.8472222222222222,0.9732286050156785,0.9732286050156785,0.8797824947589099,716.0, (1hours)
binary,LightGBM,BBA,0.3,0.8626834381551363,0.8632459394031785,0.010416666666666668,0.013402368361560741,0.8522667714884696,0.9819510593933718,0.9819510593933718,0.8797824947589099,716.0, (1hours)
binary,LightGBM,DBA-style,0.05,0.8626834381551363,0.8632459394031785,0.5177541928721174,0.5118864420784823,0.3449292452830189,0.2601007306393529,0.2601007306393529,0.8797824947589099,716.0, (1hours)
