task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.9053983228511531,0.9052916556054013,0.584643605870021,0.5180572047809097,0.3207547169811321,0.2719683655536028,0.8679245283018868,6,716,2276,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.9053983228511531,0.9052916556054013,0.5875262054507338,0.517558050988345,0.3178721174004193,0.36994727592267135,0.8679245283018868,6,716,2276,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.9053983228511531,0.9052916556054013,0.5822851153039832,0.5079644216007828,0.3231132075471699,0.3835676625659051,0.8679245283018868,6,716,2276,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.9053983228511531,0.9052916556054013,0.7610062893081762,0.7524983700700656,0.14439203354297692,0.242091388400703,0.8679245283018868,6,716,2276,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.9053983228511531,0.9052916556054013,0.8883647798742138,0.8882319004366149,0.017033542976939264,0.028558875219683654,0.8679245283018868,6,716,2276,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.9053983228511531,0.9052916556054013,0.5783542976939203,0.4848915206595471,0.32704402515723274,0.4165202108963093,0.8679245283018868,6,716,2276,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.9053983228511531,0.9052916556054013,0.5731132075471698,0.4786069876284589,0.3322851153039833,0.45562390158172233,0.8679245283018868,6,716,2276,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.9053983228511531,0.9052916556054013,0.57520964360587,0.47897113382425816,0.33018867924528306,0.4507908611599297,0.8679245283018868,6,716,2276,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.9053983228511531,0.9052916556054013,0.6538259958071279,0.6491623493159505,0.2515723270440252,0.421792618629174,0.8679245283018868,6,716,2276,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.9053983228511531,0.9052916556054013,0.8883647798742138,0.8882319004366149,0.017033542976939264,0.028558875219683654,0.8679245283018868,6,716,2276,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.9053983228511531,0.9052916556054013,0.5825471698113207,0.48271885919923935,0.32285115303983236,0.4108084358523726,0.8679245283018868,6,716,2276,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.2,3,0.9053983228511531,0.9052916556054013,0.5807127882599581,0.48280358834655496,0.324685534591195,0.4446397188049209,0.8679245283018868,6,716,2276,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.2,3,0.9053983228511531,0.9052916556054013,0.5817610062893082,0.4837218624848813,0.3236373165618449,0.44595782073813706,0.8679245283018868,6,716,2276,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.2,3,0.9053983228511531,0.9052916556054013,0.5112683438155137,0.48219737459819834,0.3941299790356394,0.6608084358523726,0.8679245283018868,6,716,2276,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.2,3,0.9053983228511531,0.9052916556054013,0.8881027253668763,0.8879675129104299,0.01729559748427678,0.02899824253075571,0.8679245283018868,6,716,2276,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.3,3,0.9053983228511531,0.9052916556054013,0.5804507337526206,0.4786279498562825,0.3249475890985325,0.38576449912126537,0.8679245283018868,6,716,2276,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.3,3,0.9053983228511531,0.9052916556054013,0.5862159329140462,0.48777652529826326,0.3191823899371069,0.43014059753954303,0.8679245283018868,6,716,2276,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.3,3,0.9053983228511531,0.9052916556054013,0.5859538784067087,0.48750878999843983,0.3194444444444444,0.4305799648506151,0.8679245283018868,6,716,2276,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.3,3,0.9053983228511531,0.9052916556054013,0.44261006289308175,0.38001046540744715,0.4627882599580713,0.7759226713532513,0.8679245283018868,6,716,2276,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.3,3,0.9053983228511531,0.9052916556054013,0.8881027253668763,0.8879675129104299,0.01729559748427678,0.02899824253075571,0.8679245283018868,6,716,2276,,,,,,,175.0
multi_targeted_non_malicious,1,DT,FGSM-SNN-targeted-benign,0.05,3,0.8676624737945493,0.8677396711955853,0.5332809224318659,0.48521894445491026,0.33438155136268344,0.21780388612742882,0.8406708595387841,6,716,2213,,,,,,,
multi_targeted_non_malicious,1,DT,PGD-10-SNN-targeted-benign,0.05,3,0.8676624737945493,0.8677396711955853,0.5720649895178197,0.5289413076609155,0.2955974842767296,0.22593764121102575,0.8406708595387841,6,716,2213,10.0,3.0,0.1,,,,
