task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.8715932914046122,0.8719823483731693,0.5513626834381551,0.46578673639636464,0.3202306079664571,0.11605937921727395,0.11605937921727395,0.8763102725366876,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.8715932914046122,0.8719823483731693,0.5395702306079665,0.45860264016553876,0.3320230607966457,0.13630229419703105,0.13630229419703105,0.8763102725366876,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.8715932914046122,0.8719823483731693,0.5379979035639413,0.45772727934291707,0.3335953878406709,0.1381016644174539,0.1381016644174539,0.8763102725366876,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.8715932914046122,0.8719823483731693,0.48453878406708595,0.4263569945069569,0.3870545073375262,0.1700404858299595,0.1700404858299595,0.8763102725366876,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.8715932914046122,0.8719823483731693,0.7940251572327044,0.7928358315429747,0.07756813417190778,0.044534412955465584,0.044534412955465584,0.8763102725366876,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.8715932914046122,0.8719823483731693,0.45361635220125784,0.4171937816145472,0.4179769392033543,0.3153396311291048,0.3153396311291048,0.8763102725366876,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.8715932914046122,0.8719823483731693,0.4798218029350105,0.4369078652277337,0.3917714884696017,0.2838506522717049,0.2838506522717049,0.8763102725366876,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.8715932914046122,0.8719823483731693,0.48715932914046123,0.44162677927877925,0.38443396226415094,0.2699055330634278,0.2699055330634278,0.8763102725366876,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.8715932914046122,0.8719823483731693,0.45728511530398325,0.40885121260410073,0.4143081761006289,0.21502474134053082,0.21502474134053082,0.8763102725366876,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.8715932914046122,0.8719823483731693,0.7937631027253669,0.7925518376456152,0.0778301886792453,0.044534412955465584,0.044534412955465584,0.8763102725366876,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.8715932914046122,0.8719823483731693,0.43265199161425577,0.4133239030463179,0.4389412997903564,0.3810166441745389,0.3810166441745389,0.8763102725366876,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.8715932914046122,0.8719823483731693,0.4693396226415094,0.4382249785370227,0.40225366876310276,0.313540260908682,0.313540260908682,0.8763102725366876,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.8715932914046122,0.8719823483731693,0.4688155136268344,0.43786666493018334,0.4027777777777778,0.3162393162393162,0.3162393162393162,0.8763102725366876,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.8715932914046122,0.8719823483731693,0.34040880503144655,0.3308919997294921,0.5311844863731656,0.4156545209176788,0.4156545209176788,0.8763102725366876,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.8715932914046122,0.8719823483731693,0.7932389937106918,0.7919835757294447,0.07835429769392033,0.044534412955465584,0.044534412955465584,0.8763102725366876,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.8715932914046122,0.8719823483731693,0.43448637316561844,0.4144636282298937,0.4371069182389937,0.37966711650922175,0.37966711650922175,0.8763102725366876,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.3,0.8715932914046122,0.8719823483731693,0.4591194968553459,0.42928286797169274,0.41247379454926625,0.32703553756185333,0.32703553756185333,0.8763102725366876,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.3,0.8715932914046122,0.8719823483731693,0.4669811320754717,0.43582687611679793,0.40461215932914046,0.3184885290148448,0.3184885290148448,0.8763102725366876,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.3,0.8715932914046122,0.8719823483731693,0.26153039832285113,0.27011407155405404,0.6100628930817611,0.5510571300044984,0.5510571300044984,0.8763102725366876,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.3,0.8715932914046122,0.8719823483731693,0.7927148846960168,0.7914562844131696,0.07887840670859536,0.0449842555105713,0.0449842555105713,0.8763102725366876,2,716,,,,,,,175.0
binary,1,DT,FGSM-SNN,0.05,0.860587002096436,0.8618719297610178,0.42872117400419285,0.44171363775689343,0.43186582809224316,0.5064814814814815,0.5064814814814815,0.8752620545073375,2,716,,,,,,,
binary,1,DT,PGD-10-SNN,0.05,0.860587002096436,0.8618719297610178,0.3438155136268344,0.33760735956362786,0.5167714884696016,0.49074074074074076,0.49074074074074076,0.8752620545073375,2,716,10.0,3.0,0.1,,,,
binary,1,DT,PGD-20-SNN,0.05,0.860587002096436,0.8618719297610178,0.3409329140461216,0.3355940342419593,0.5196540880503144,0.4962962962962963,0.4962962962962963,0.8752620545073375,2,716,20.0,9.5,0.031578947368421054,,,,
binary,1,DT,BBA,0.05,0.860587002096436,0.8618719297610178,0.048480083857442346,0.06024568281409731,0.8121069182389937,0.9143518518518519,0.9143518518518519,0.8752620545073375,2,716,,,,80.0,160.0,115.0,
binary,1,DT,DBA-style,0.05,0.860587002096436,0.8618719297610178,0.14334381551362682,0.16335215464903796,0.7172431865828092,0.7467592592592592,0.7467592592592592,0.8752620545073375,2,716,,,,,,,105.0
binary,1,DT,FGSM-SNN,0.1,0.860587002096436,0.8618719297610178,0.47667714884696016,0.45679729317990664,0.38390985324947585,0.2824074074074074,0.2824074074074074,0.8752620545073375,2,716,,,,,,,
