task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.8752620545073375,0.8752114891973315,0.3149895178197065,0.20940015130149092,0.560272536687631,0.5402247191011236,0.12719101123595505,0.8590146750524109,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.8752620545073375,0.8752114891973315,0.3191823899371069,0.21476700964926998,0.5560796645702306,0.5370786516853933,0.1604494382022472,0.8590146750524109,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.8752620545073375,0.8752114891973315,0.3191823899371069,0.21511781283920692,0.5560796645702306,0.5375280898876404,0.1604494382022472,0.8590146750524109,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.8752620545073375,0.8752114891973315,0.3443396226415094,0.30555915570608033,0.5309224318658281,0.42741573033707864,0.14786516853932585,0.8590146750524109,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.8752620545073375,0.8752114891973315,0.810796645702306,0.8105060107938781,0.06446540880503149,0.04134831460674157,0.03325842696629214,0.8590146750524109,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.8752620545073375,0.8752114891973315,0.3189203354297694,0.20868440284560566,0.5563417190775681,0.5379775280898876,0.21797752808988763,0.8590146750524109,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.8752620545073375,0.8752114891973315,0.32442348008385746,0.21706925864119855,0.55083857442348,0.5375280898876404,0.22112359550561797,0.8590146750524109,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.8752620545073375,0.8752114891973315,0.3238993710691824,0.21532236497797594,0.5513626834381551,0.5375280898876404,0.22561797752808987,0.8590146750524109,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.8752620545073375,0.8752114891973315,0.25,0.2044671577607593,0.6252620545073375,0.5739325842696629,0.1644943820224719,0.8590146750524109,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.8752620545073375,0.8752114891973315,0.8100104821802935,0.8096759905212746,0.06525157232704404,0.04224719101123595,0.03325842696629214,0.8590146750524109,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.8752620545073375,0.8752114891973315,0.31577568134171907,0.1973475881915919,0.5594863731656184,0.5442696629213483,0.25707865168539323,0.8590146750524109,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.8752620545073375,0.8752114891973315,0.3170859538784067,0.20236237170661678,0.5581761006289307,0.5451685393258427,0.2503370786516854,0.8590146750524109,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.8752620545073375,0.8752114891973315,0.31813417190775684,0.20167355817020047,0.5571278825995807,0.5438202247191011,0.25662921348314605,0.8590146750524109,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.8752620545073375,0.8752114891973315,0.1920859538784067,0.14323401542085998,0.6831761006289307,0.6723595505617977,0.20853932584269663,0.8590146750524109,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.8752620545073375,0.8752114891973315,0.809748427672956,0.8093968340195629,0.06551362683438156,0.04269662921348315,0.033707865168539325,0.8590146750524109,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.8752620545073375,0.8752114891973315,0.31577568134171907,0.19747917531156445,0.5594863731656184,0.5420224719101123,0.27101123595505616,0.8590146750524109,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.8752620545073375,0.8752114891973315,0.32363731656184486,0.20662315572118253,0.5516247379454926,0.5393258426966292,0.23415730337078652,0.8590146750524109,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.3,0.8752620545073375,0.8752114891973315,0.3223270440251572,0.20638732352774597,0.5529350104821803,0.5415730337078651,0.2355056179775281,0.8590146750524109,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.3,0.8752620545073375,0.8752114891973315,0.18946540880503146,0.1364818381488138,0.685796645702306,0.6750561797752809,0.2350561797752809,0.8590146750524109,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.3,0.8752620545073375,0.8752114891973315,0.8087002096436059,0.8083538658019908,0.06656184486373162,0.04449438202247191,0.03460674157303371,0.8590146750524109,6,716,,,,,,,175.0
multi,1,DT,FGSM-SNN,0.05,0.8464360587002097,0.8465848129432871,0.30765199161425577,0.2982333250127146,0.5387840670859538,0.6910531220876048,0.36533084808946875,0.8393605870020965,6,716,,,,,,,
multi,1,DT,PGD-10-SNN,0.05,0.8464360587002097,0.8465848129432871,0.27437106918238996,0.2701201350852024,0.5720649895178197,0.6947809878844362,0.25256290773532153,0.8393605870020965,6,716,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.05,0.8464360587002097,0.8465848129432871,0.28773584905660377,0.28172083741778287,0.5587002096436059,0.6887232059645852,0.2511649580615098,0.8393605870020965,6,716,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.05,0.8464360587002097,0.8465848129432871,0.003930817610062893,0.0038318455018801745,0.8425052410901468,0.9930102516309413,0.3005591798695247,0.8393605870020965,6,716,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.05,0.8464360587002097,0.8465848129432871,0.10639412997903563,0.09167209362694072,0.740041928721174,0.8569431500465983,0.43709226467847156,0.8393605870020965,6,716,,,,,,,105.0
