task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
multi,DT,BBA,0.05,0.8931472746331237,0.8931802040210041,0.00294811320754717,0.002895916719415907,0.8901991614255765,0.9949940462355946,0.490916739973875,0.8406708595387841,716.0
multi,DT,BBA,0.1,0.8931472746331237,0.8931802040210041,0.0015723270440251573,0.0014226459131702947,0.8915749475890986,0.9973324188252343,0.5395071027803076,0.8406708595387841,716.0
multi,DT,BBA,0.2,0.8931472746331237,0.8931802040210041,0.0013757861635220127,0.0012021057711018729,0.8917714884696016,0.9976657725588813,0.5343051023724876,0.8406708595387841,716.0
multi,DT,BBA,0.3,0.8931472746331237,0.8931802040210041,0.001179245283018868,0.0009911256239335856,0.8919680293501049,0.9979994024521197,0.5038092061381154,0.8406708595387841,716.0
multi,DT,DBA-style,0.05,0.8931472746331237,0.8931802040210041,0.06328616352201258,0.05556127637801433,0.829861111111111,0.9223575978350462,0.5105749823980976,0.8406708595387841,716.0
multi,DT,DBA-style,0.1,0.8931472746331237,0.8931802040210041,0.056472746331236896,0.04853360391207062,0.8366745283018868,0.9278350626101389,0.526660874249014,0.8406708595387841,716.0
multi,DT,DBA-style,0.2,0.8931472746331237,0.8931802040210041,0.046383647798742135,0.03991277365572915,0.8467636268343816,0.9393623915289256,0.5118058177623007,0.8406708595387841,716.0
multi,DT,DBA-style,0.3,0.8931472746331237,0.8931802040210041,0.04310796645702306,0.037099787078113886,0.8500393081761006,0.9428270186857444,0.5104489539716385,0.8406708595387841,716.0
multi,DT,FGSM-SNN,0.05,0.8931472746331237,0.8931802040210041,0.23860062893081763,0.22940282244022428,0.654546645702306,0.7262391162052391,0.37802371235090093,0.8406708595387841,716.0
multi,DT,FGSM-SNN,0.1,0.8931472746331237,0.8931802040210041,0.2236635220125786,0.21186163385756282,0.669483752620545,0.7423590431222641,0.4187283664124179,0.8406708595387841,716.0
multi,DT,FGSM-SNN,0.2,0.8931472746331237,0.8931802040210041,0.21108490566037735,0.18816343645105627,0.6820623689727463,0.7598259732670397,0.4324161039304253,0.8406708595387841,716.0
multi,DT,FGSM-SNN,0.3,0.8931472746331237,0.8931802040210041,0.22064989517819708,0.19723726119601728,0.6724973794549266,0.7649284355820536,0.4219038960098286,0.8406708595387841,716.0
multi,DT,PGD-10-SNN,0.05,0.8931472746331237,0.8931802040210041,0.19870283018867924,0.19249235540104898,0.6944444444444444,0.7658243209868192,0.44869045613607583,0.8406708595387841,716.0
