task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.8613731656184487,0.8616911977863975,0.4803459119496855,0.4262324313216878,0.38102725366876317,0.22056159420289856,0.22056159420289856,0.8519392033542977,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.8613731656184487,0.8616911977863975,0.4882075471698113,0.42935574737333426,0.3731656184486374,0.213768115942029,0.213768115942029,0.8519392033542977,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.8613731656184487,0.8616911977863975,0.48977987421383645,0.4302902214172064,0.3715932914046122,0.2128623188405797,0.2128623188405797,0.8519392033542977,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.8613731656184487,0.8616911977863975,0.47929769392033544,0.4226931718469924,0.38207547169811323,0.17255434782608695,0.17255434782608695,0.8519392033542977,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.8613731656184487,0.8616911977863975,0.7659853249475891,0.7646572264169856,0.09538784067085959,0.0625,0.0625,0.8519392033542977,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.8613731656184487,0.8616911977863975,0.3307127882599581,0.3342114622949544,0.5306603773584906,0.5398550724637681,0.5398550724637681,0.8519392033542977,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.8613731656184487,0.8616911977863975,0.3778825995807128,0.3717322166205173,0.4834905660377359,0.47192028985507245,0.47192028985507245,0.8519392033542977,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.8613731656184487,0.8616911977863975,0.37945492662473795,0.37265184561177905,0.4819182389937107,0.46875,0.46875,0.8519392033542977,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.8613731656184487,0.8616911977863975,0.46540880503144655,0.4138076857325379,0.39596436058700213,0.1956521739130435,0.1956521739130435,0.8519392033542977,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.8613731656184487,0.8616911977863975,0.7657232704402516,0.7643705259534597,0.09564989517819711,0.0625,0.0625,0.8519392033542977,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.8613731656184487,0.8616911977863975,0.38836477987421386,0.38085295469847413,0.4730083857442348,0.45018115942028986,0.45018115942028986,0.8519392033542977,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.8613731656184487,0.8616911977863975,0.3757861635220126,0.37105074028407903,0.48558700209643607,0.46875,0.46875,0.8519392033542977,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.8613731656184487,0.8616911977863975,0.37054507337526205,0.3671586906498237,0.49082809224318663,0.47554347826086957,0.47554347826086957,0.8519392033542977,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.8613731656184487,0.8616911977863975,0.3527253668763103,0.3397424494593209,0.5086477987421384,0.3903985507246377,0.3903985507246377,0.8519392033542977,2,716,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.8613731656184487,0.8616911977863975,0.764937106918239,0.7636493980190222,0.09643605870020966,0.06385869565217392,0.06385869565217392,0.8519392033542977,2,716,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.8613731656184487,0.8616911977863975,0.3241614255765199,0.3304353088268975,0.5372117400419287,0.5625,0.5625,0.8519392033542977,2,716,,,,,,,
binary,1,RF,PGD-10-SNN,0.3,0.8613731656184487,0.8616911977863975,0.36215932914046123,0.36007645603103955,0.49921383647798745,0.4936594202898551,0.4936594202898551,0.8519392033542977,2,716,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.3,0.8613731656184487,0.8616911977863975,0.34853249475890985,0.34975672899694676,0.5128406708595388,0.5176630434782609,0.5176630434782609,0.8519392033542977,2,716,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.3,0.8613731656184487,0.8616911977863975,0.25,0.2605870020964361,0.6113731656184487,0.5679347826086957,0.5679347826086957,0.8519392033542977,2,716,,,,170.0,280.0,200.0,
