task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
multi,DT,BBA,0.05,0.8292059748427674,0.8286747278831978,0.008123689727463312,0.008006592598756319,0.821082285115304,0.9849044268722311,0.30423567015904984,0.822982180293501,716.0
multi,DT,BBA,0.1,0.8292059748427674,0.8286747278831978,0.0034067085953878406,0.003035875251973329,0.8257992662473795,0.9936706016521767,0.4106053602477375,0.822982180293501,716.0
multi,DT,BBA,0.2,0.8292059748427674,0.8286747278831978,0.0002620545073375262,0.0002610480423050896,0.8289439203354299,0.9995087199493732,0.42556592828474693,0.822982180293501,716.0
multi,DT,BBA,0.3,0.8292059748427674,0.8286747278831978,6.551362683438155e-05,6.175230668909365e-05,0.829140461215933,0.9998770894788593,0.4430709753892986,0.822982180293501,716.0
multi,DT,DBA-style,0.05,0.8292059748427674,0.8286747278831978,0.07226153039832285,0.06388047967338076,0.7569444444444444,0.8950546289173952,0.47874726704799875,0.822982180293501,716.0
multi,DT,DBA-style,0.1,0.8292059748427674,0.8286747278831978,0.05830712788259958,0.05014304020505696,0.7708988469601677,0.9145048882243774,0.4937441061402516,0.822982180293501,716.0
multi,DT,DBA-style,0.2,0.8292059748427674,0.8286747278831978,0.05123165618448637,0.0431383269166552,0.7779743186582809,0.9207354727486231,0.495923530924988,0.822982180293501,716.0
multi,DT,DBA-style,0.3,0.8292059748427674,0.8286747278831978,0.049266247379454925,0.040993205504586294,0.7799397274633124,0.9229442164825714,0.497510870648874,0.822982180293501,716.0
multi,DT,FGSM-SNN,0.05,0.8292059748427674,0.8286747278831978,0.38115828092243187,0.3596270190569965,0.44804769392033544,0.6098397017070948,0.2244318640112244,0.822982180293501,716.0
multi,DT,FGSM-SNN,0.1,0.8292059748427674,0.8286747278831978,0.33254716981132076,0.3064971639827676,0.49665880503144655,0.6254098294448991,0.24276429890286566,0.822982180293501,716.0
multi,DT,FGSM-SNN,0.2,0.8292059748427674,0.8286747278831978,0.32520964360587,0.28546343233631205,0.5039963312368972,0.6320393635913002,0.2594475737884563,0.822982180293501,716.0
multi,DT,FGSM-SNN,0.3,0.8292059748427674,0.8286747278831978,0.32769916142557654,0.29170913391519593,0.5015068134171907,0.6364436134465112,0.2540208972173847,0.822982180293501,716.0
multi,DT,PGD-10-SNN,0.05,0.8292059748427674,0.8286747278831978,0.4008123689727463,0.38148901095146975,0.42839360587002095,0.6100076251728115,0.2184239071590896,0.822982180293501,716.0
multi,DT,PGD-10-SNN,0.1,0.8292059748427674,0.8286747278831978,0.3781446540880503,0.36509773509344795,0.451061320754717,0.6220347232652667,0.19363903071128954,0.822982180293501,716.0
multi,DT,PGD-10-SNN,0.2,0.8292059748427674,0.8286747278831978,0.2914701257861635,0.2794082267173491,0.5377358490566038,0.6512265080572797,0.23282017237342517,0.822982180293501,716.0
multi,DT,PGD-10-SNN,0.3,0.8292059748427674,0.8286747278831978,0.3012316561844864,0.2931371384573191,0.5279743186582809,0.6526295081854045,0.23665025187228134,0.822982180293501,716.0
multi,DT,PGD-20-SNN,0.05,0.8292059748427674,0.8286747278831978,0.41188417190775684,0.39168454005508535,0.41732180293501053,0.5980843995373333,0.21323922303355786,0.822982180293501,716.0
multi,DT,PGD-20-SNN,0.1,0.8292059748427674,0.8286747278831978,0.3823375262054507,0.36830868703984926,0.44686844863731656,0.6210076932703403,0.19620735199817213,0.822982180293501,716.0
multi,DT,PGD-20-SNN,0.2,0.8292059748427674,0.8286747278831978,0.3006420335429769,0.28838395911575326,0.5285639412997903,0.6493524198819252,0.24545177188476514,0.822982180293501,716.0
multi,DT,PGD-20-SNN,0.3,0.8292059748427674,0.8286747278831978,0.3082416142557652,0.3002969329436744,0.5209643605870021,0.6545677385809611,0.24893152713688985,0.822982180293501,716.0
multi,LightGBM,BBA,0.05,0.8628799790356394,0.8627202274819834,0.009958071278825996,0.008732741016140775,0.8529219077568134,0.9824570276298739,0.46287119297939483,0.840146750524109,716.0
multi,LightGBM,BBA,0.1,0.8628799790356394,0.8627202274819834,0.003996331236897275,0.0034179968587823456,0.8588836477987422,0.9929377614996696,0.4238464611930569,0.840146750524109,716.0
multi,LightGBM,BBA,0.2,0.8628799790356394,0.8627202274819834,0.0015068134171907757,0.0013233829596966016,0.8613731656184487,0.9973321825325301,0.4166680922274905,0.840146750524109,716.0
multi,LightGBM,BBA,0.3,0.8628799790356394,0.8627202274819834,0.0018343815513626833,0.001634990600307511,0.8610455974842768,0.9967510574744175,0.3780554906601295,0.840146750524109,716.0
multi,LightGBM,DBA-style,0.05,0.8628799790356394,0.8627202274819834,0.2794811320754717,0.25421701526824736,0.5833988469601677,0.5402922169978395,0.3826564529722388,0.840146750524109,716.0
multi,LightGBM,DBA-style,0.1,0.8628799790356394,0.8627202274819834,0.26971960167714887,0.2375368413641709,0.5931603773584906,0.5560969295348464,0.3737226791014857,0.840146750524109,716.0
multi,LightGBM,DBA-style,0.2,0.8628799790356394,0.8627202274819834,0.2673611111111111,0.234628959461637,0.5955188679245282,0.5599235060715194,0.3692255342026946,0.840146750524109,716.0
multi,LightGBM,DBA-style,0.3,0.8628799790356394,0.8627202274819834,0.26480607966457026,0.232774028538147,0.5980738993710693,0.5640512356538362,0.37231795428010406,0.840146750524109,716.0
multi,LightGBM,FGSM-SNN,0.05,0.8628799790356394,0.8627202274819834,0.3862683438155136,0.2994200969603121,0.47661163522012584,0.5428124196129381,0.15186886118069032,0.840146750524109,716.0
multi,LightGBM,FGSM-SNN,0.1,0.8628799790356394,0.8627202274819834,0.37028301886792453,0.2645250095566218,0.4925969601677149,0.5621532416582208,0.15921463648865025,0.840146750524109,716.0
multi,LightGBM,FGSM-SNN,0.2,0.8628799790356394,0.8627202274819834,0.3654350104821803,0.25197000431198197,0.4974449685534591,0.5635931339916929,0.09955365842554362,0.840146750524109,716.0
multi,LightGBM,FGSM-SNN,0.3,0.8628799790356394,0.8627202274819834,0.3554769392033543,0.24082377039148023,0.5074030398322851,0.5665497427360525,0.06326505634223728,0.840146750524109,716.0
multi,LightGBM,PGD-10-SNN,0.05,0.8628799790356394,0.8627202274819834,0.44084119496855345,0.37350376597107493,0.42203878406708595,0.5401336513787646,0.14722903952073996,0.840146750524109,716.0
multi,LightGBM,PGD-10-SNN,0.1,0.8628799790356394,0.8627202274819834,0.428917714884696,0.3529619388455602,0.4339622641509434,0.5607879100634604,0.12604257418596407,0.840146750524109,716.0
multi,LightGBM,PGD-10-SNN,0.2,0.8628799790356394,0.8627202274819834,0.40625,0.33098878691900724,0.4566299790356394,0.586254496921232,0.09187706660808001,0.840146750524109,716.0
multi,LightGBM,PGD-10-SNN,0.3,0.8628799790356394,0.8627202274819834,0.3570492662473794,0.2680523320030385,0.50583071278826,0.6062074145727054,0.05887140643499032,0.840146750524109,716.0
multi,LightGBM,PGD-20-SNN,0.05,0.8628799790356394,0.8627202274819834,0.4473270440251572,0.3812457887100385,0.4155529350104822,0.5400232472093855,0.15503308520133358,0.840146750524109,716.0
multi,LightGBM,PGD-20-SNN,0.1,0.8628799790356394,0.8627202274819834,0.42931079664570226,0.35768616146413307,0.43356918238993714,0.5675944078799507,0.1140422281530407,0.840146750524109,716.0
multi,LightGBM,PGD-20-SNN,0.2,0.8628799790356394,0.8627202274819834,0.4186975890985325,0.34538702381436587,0.4441823899371069,0.5793892693069432,0.09914401817276292,0.840146750524109,716.0
multi,LightGBM,PGD-20-SNN,0.3,0.8628799790356394,0.8627202274819834,0.3958988469601677,0.3215834077008409,0.4669811320754717,0.5857625362503912,0.08916538774082856,0.840146750524109,716.0
multi,RF,BBA,0.05,0.8520702306079664,0.8516867340653901,0.35429769392033544,0.34364269640505885,0.49777253668763105,0.44691113822846984,0.22344246718385605,0.8235718029350105,716.0
multi,RF,BBA,0.1,0.8520702306079664,0.8516867340653901,0.24770702306079664,0.21932921210012615,0.6043632075471698,0.575516147832668,0.2253067249336653,0.8235718029350105,716.0
multi,RF,BBA,0.2,0.8520702306079664,0.8516867340653901,0.18848270440251574,0.15114854900066652,0.6635875262054507,0.6693447842179404,0.24840452288291034,0.8235718029350105,716.0
multi,RF,BBA,0.3,0.8520702306079664,0.8516867340653901,0.18671383647798742,0.14197781751242217,0.665356394129979,0.6703922697355632,0.26518172668473305,0.8235718029350105,716.0
multi,RF,DBA-style,0.05,0.8520702306079664,0.8516867340653901,0.7587133123689728,0.7583190864567877,0.0933569182389937,0.06804191332330471,0.05693441594414355,0.8235718029350105,716.0
multi,RF,DBA-style,0.1,0.8520702306079664,0.8516867340653901,0.7581892033542977,0.7577658274697194,0.09388102725366873,0.06862050882523872,0.05716581652049267,0.8235718029350105,716.0
multi,RF,DBA-style,0.2,0.8520702306079664,0.8516867340653901,0.757730607966457,0.7572904476004358,0.09433962264150941,0.06873752149186586,0.05705134765602381,0.8235718029350105,716.0
multi,RF,DBA-style,0.3,0.8520702306079664,0.8516867340653901,0.7575340670859538,0.7571003178036863,0.09453616352201255,0.06896635205342809,0.05739597256682179,0.8235718029350105,716.0
multi,RF,FGSM-SNN,0.05,0.8520702306079664,0.8516867340653901,0.3915094339622641,0.33302169289607997,0.46056079664570226,0.5110443317542936,0.16994203998763724,0.8235718029350105,716.0
multi,RF,FGSM-SNN,0.1,0.8520702306079664,0.8516867340653901,0.3391640461215933,0.24564161997770514,0.5129061844863732,0.5380634690332844,0.19117144463971472,0.8235718029350105,716.0
multi,RF,FGSM-SNN,0.2,0.8520702306079664,0.8516867340653901,0.3235062893081761,0.21064087798177605,0.5285639412997903,0.5498698267616717,0.18617110481213023,0.8235718029350105,716.0
multi,RF,FGSM-SNN,0.3,0.8520702306079664,0.8516867340653901,0.31813417190775684,0.19310774509219705,0.5339360587002095,0.553578430741402,0.17401588064907142,0.8235718029350105,716.0
multi,RF,PGD-10-SNN,0.05,0.8520702306079664,0.8516867340653901,0.3695623689727463,0.30019207778494433,0.4825078616352201,0.5077644538372365,0.2148363638405508,0.8235718029350105,716.0
multi,RF,PGD-10-SNN,0.1,0.8520702306079664,0.8516867340653901,0.3380503144654088,0.2443965905949687,0.5140199161425576,0.5342558033288103,0.2534351265717244,0.8235718029350105,716.0
multi,RF,PGD-10-SNN,0.2,0.8520702306079664,0.8516867340653901,0.3299266247379455,0.22318491993784606,0.522143605870021,0.5408535964860323,0.253162900733647,0.8235718029350105,716.0
multi,RF,PGD-10-SNN,0.3,0.8520702306079664,0.8516867340653901,0.3297955974842767,0.21751660955454774,0.5222746331236897,0.5417809529456976,0.2421647610335062,0.8235718029350105,716.0
multi,RF,PGD-20-SNN,0.05,0.8520702306079664,0.8516867340653901,0.37421383647798745,0.3058773611127987,0.47785639412997905,0.5066031792116923,0.21332813483680135,0.8235718029350105,716.0
multi,RF,PGD-20-SNN,0.1,0.8520702306079664,0.8516867340653901,0.3448637316561845,0.25444235516255564,0.5072064989517819,0.5349522273578894,0.25331672504830194,0.8235718029350105,716.0
multi,RF,PGD-20-SNN,0.2,0.8520702306079664,0.8516867340653901,0.3299266247379455,0.22263186338990276,0.522143605870021,0.5423596579318681,0.25152435610943047,0.8235718029350105,716.0
multi,RF,PGD-20-SNN,0.3,0.8520702306079664,0.8516867340653901,0.32966457023060797,0.21499257535558014,0.5224056603773585,0.541668813548636,0.24389985411202322,0.8235718029350105,716.0
multi,XGBoost,BBA,0.05,0.8632730607966457,0.8630830876014745,0.022733228511530396,0.020477655792532932,0.8405398322851153,0.9602838243143725,0.41885199244733273,0.8364124737945493,716.0
multi,XGBoost,BBA,0.1,0.8632730607966457,0.8630830876014745,0.009958071278825996,0.00808115742218307,0.8533149895178197,0.982509728638769,0.35161546083905715,0.8364124737945493,716.0
multi,XGBoost,BBA,0.2,0.8632730607966457,0.8630830876014745,0.005699685534591195,0.004803714416844602,0.8575733752620545,0.989978647257977,0.3834074823616808,0.8364124737945493,716.0
multi,XGBoost,BBA,0.3,0.8632730607966457,0.8630830876014745,0.004323899371069182,0.0035432468241115298,0.8589491614255765,0.9923918457276497,0.3512096013754103,0.8364124737945493,716.0
multi,XGBoost,DBA-style,0.05,0.8632730607966457,0.8630830876014745,0.3480738993710692,0.33740732751306346,0.5151991614255765,0.4267649494632092,0.23702736325613383,0.8364124737945493,716.0
multi,XGBoost,DBA-style,0.1,0.8632730607966457,0.8630830876014745,0.31125524109014674,0.2908287055335613,0.5520178197064989,0.49114080452271586,0.2322433871402545,0.8364124737945493,716.0
multi,XGBoost,DBA-style,0.2,0.8632730607966457,0.8630830876014745,0.30922431865828093,0.28877554695034025,0.5540487421383649,0.4947029221121312,0.2304008337552602,0.8364124737945493,716.0
multi,XGBoost,DBA-style,0.3,0.8632730607966457,0.8630830876014745,0.30915880503144655,0.288459692761079,0.5541142557651991,0.4947913328946155,0.22818532183131734,0.8364124737945493,716.0
multi,XGBoost,FGSM-SNN,0.05,0.8632730607966457,0.8630830876014745,0.40467767295597484,0.3789684473796802,0.4585953878406709,0.6242926769247747,0.13706484109221306,0.8364124737945493,716.0
multi,XGBoost,FGSM-SNN,0.1,0.8632730607966457,0.8630830876014745,0.34964622641509435,0.30621809690517277,0.5136268343815513,0.6422578066045574,0.157558144678431,0.8364124737945493,716.0
multi,XGBoost,FGSM-SNN,0.2,0.8632730607966457,0.8630830876014745,0.2734538784067086,0.21044084502203958,0.5898191823899371,0.6740462528967687,0.12096127595081216,0.8364124737945493,716.0
multi,XGBoost,FGSM-SNN,0.3,0.8632730607966457,0.8630830876014745,0.23729035639413,0.17686244767367085,0.6259827044025157,0.7006926756864668,0.11817620326320621,0.8364124737945493,716.0
multi,XGBoost,PGD-10-SNN,0.05,0.8632730607966457,0.8630830876014745,0.42485587002096437,0.40297120454494223,0.4384171907756813,0.6075524249220847,0.08098592088622117,0.8364124737945493,716.0
multi,XGBoost,PGD-10-SNN,0.1,0.8632730607966457,0.8630830876014745,0.38816823899371067,0.3477470858255995,0.475104821802935,0.6111364433453375,0.06591408917695576,0.8364124737945493,716.0
multi,XGBoost,PGD-10-SNN,0.2,0.8632730607966457,0.8630830876014745,0.2897667714884696,0.2432850299855532,0.5735062893081762,0.6727538624915548,0.06501750862141391,0.8364124737945493,716.0
multi,XGBoost,PGD-10-SNN,0.3,0.8632730607966457,0.8630830876014745,0.27581236897274636,0.24174442512081354,0.5874606918238994,0.6975981061929469,0.0727897407360543,0.8364124737945493,716.0
multi,XGBoost,PGD-20-SNN,0.05,0.8632730607966457,0.8630830876014745,0.42695230607966456,0.40431460095788874,0.4363207547169811,0.605227673630055,0.07916277801338573,0.8364124737945493,716.0
multi,XGBoost,PGD-20-SNN,0.1,0.8632730607966457,0.8630830876014745,0.38816823899371067,0.34844976028933317,0.475104821802935,0.6130894299197905,0.06544939106466373,0.8364124737945493,716.0
multi,XGBoost,PGD-20-SNN,0.2,0.8632730607966457,0.8630830876014745,0.288456498951782,0.24349898388342928,0.5748165618448637,0.6778424803296063,0.06228552218395278,0.8364124737945493,716.0
multi,XGBoost,PGD-20-SNN,0.3,0.8632730607966457,0.8630830876014745,0.2739124737945493,0.23906367633453415,0.5893605870020964,0.6986722992542557,0.07086619470314766,0.8364124737945493,716.0
