task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.8590146750524109,0.8588607391677747,0.40382599580712786,0.3550955409224473,0.45518867924528306,0.5133640552995392,0.13870967741935483,0.8338574423480084,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.8590146750524109,0.8588607391677747,0.4025157232704403,0.3456814370002471,0.45649895178197064,0.5179723502304148,0.21797235023041475,0.8338574423480084,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.8590146750524109,0.8588607391677747,0.399895178197065,0.34293252136457053,0.4591194968553459,0.5202764976958525,0.22119815668202766,0.8338574423480084,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.8590146750524109,0.8588607391677747,0.36032494758909855,0.3346519179951141,0.49868972746331236,0.39308755760368663,0.1824884792626728,0.8338574423480084,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.8590146750524109,0.8588607391677747,0.7657232704402516,0.7655079764918162,0.09329140461215935,0.055299539170506916,0.04838709677419355,0.8338574423480084,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.8590146750524109,0.8588607391677747,0.3721174004192872,0.30274504691460047,0.4868972746331237,0.5387096774193548,0.18571428571428572,0.8338574423480084,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.8590146750524109,0.8588607391677747,0.3870545073375262,0.3154321999366464,0.4719601677148847,0.5290322580645161,0.24930875576036865,0.8338574423480084,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.8590146750524109,0.8588607391677747,0.3886268343815514,0.3164955129515657,0.47038784067085954,0.5248847926267282,0.2534562211981567,0.8338574423480084,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.8590146750524109,0.8588607391677747,0.2769916142557652,0.24611009866339356,0.5820230607966457,0.5216589861751152,0.2023041474654378,0.8338574423480084,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.8590146750524109,0.8588607391677747,0.7633647798742138,0.763082800531952,0.09564989517819711,0.05714285714285714,0.04930875576036867,0.8338574423480084,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.8590146750524109,0.8588607391677747,0.3440775681341719,0.24965788423667626,0.514937106918239,0.5456221198156682,0.23087557603686637,0.8338574423480084,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.8590146750524109,0.8588607391677747,0.33778825995807127,0.22259471978374654,0.5212264150943396,0.5294930875576037,0.2304147465437788,0.8338574423480084,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.8590146750524109,0.8588607391677747,0.34014675052410903,0.22304264406674215,0.5188679245283019,0.5262672811059907,0.2184331797235023,0.8338574423480084,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.8590146750524109,0.8588607391677747,0.19025157232704404,0.14219036024664564,0.6687631027253669,0.6658986175115207,0.17511520737327188,0.8338574423480084,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.8590146750524109,0.8588607391677747,0.7620545073375262,0.7616902127228907,0.09696016771488469,0.0576036866359447,0.04884792626728111,0.8338574423480084,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.8590146750524109,0.8588607391677747,0.32678197064989517,0.2116206903375303,0.5322327044025157,0.5428571428571428,0.21566820276497695,0.8338574423480084,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.8590146750524109,0.8588607391677747,0.3466981132075472,0.23197867951330522,0.5123165618448637,0.5271889400921659,0.19953917050691244,0.8338574423480084,6,716,10.0,10.0,0.03,,,,
