task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,1,RF,FGSM-SNN,0.05,0.6079664570230608,0.5019005057596536,0.4693396226415094,0.36384581315734665,0.13862683438155143,0.23487544483985764,0.07695729537366548,0.9122117400419287,6,453
multi,1,RF,PGD-10-SNN,0.05,0.6079664570230608,0.5019005057596536,0.535377358490566,0.4298403093491027,0.07258909853249484,0.1152135231316726,0.033807829181494664,0.9122117400419287,6,453
multi,1,RF,PGD-20-SNN,0.05,0.6079664570230608,0.5019005057596536,0.534853249475891,0.428345878368529,0.07311320754716988,0.11343416370106761,0.037366548042704624,0.9122117400419287,6,453
multi,1,RF,BBA,0.05,0.6079664570230608,0.5019005057596536,0.5230607966457023,0.4184826751490594,0.08490566037735858,0.1347864768683274,0.01601423487544484,0.9122117400419287,6,453
multi,1,RF,DBA-style,0.05,0.6079664570230608,0.5019005057596536,0.6053459119496856,0.4982966558481409,0.00262054507337528,0.003113879003558719,0.0,0.9122117400419287,6,453
multi,1,RF,FGSM-SNN,0.1,0.6079664570230608,0.5019005057596536,0.45676100628930816,0.3427683937685912,0.1512054507337527,0.2566725978647687,0.06227758007117438,0.9122117400419287,6,453
multi,1,RF,PGD-10-SNN,0.1,0.6079664570230608,0.5019005057596536,0.4727463312368973,0.3688441698445012,0.13522012578616355,0.21352313167259787,0.08140569395017794,0.9122117400419287,6,453
multi,1,RF,PGD-20-SNN,0.1,0.6079664570230608,0.5019005057596536,0.47327044025157233,0.3731511476333652,0.1346960167714885,0.2166370106761566,0.07873665480427046,0.9122117400419287,6,453
multi,1,RF,BBA,0.1,0.6079664570230608,0.5019005057596536,0.4415618448637317,0.3368688352091583,0.16640461215932917,0.2709074733096085,0.032473309608540925,0.9122117400419287,6,453
multi,1,RF,DBA-style,0.1,0.6079664570230608,0.5019005057596536,0.605083857442348,0.4983980420417483,0.002882599580712797,0.00400355871886121,0.0,0.9122117400419287,6,453
multi,1,RF,FGSM-SNN,0.2,0.6079664570230608,0.5019005057596536,0.4570230607966457,0.3558428925782923,0.15094339622641517,0.2557829181494662,0.17927046263345195,0.9122117400419287,6,453
multi,1,RF,PGD-10-SNN,0.2,0.6079664570230608,0.5019005057596536,0.42452830188679247,0.32300019772944233,0.18343815513626838,0.2949288256227758,0.12855871886120995,0.9122117400419287,6,453
multi,1,RF,PGD-20-SNN,0.2,0.6079664570230608,0.5019005057596536,0.4268867924528302,0.32723403730404005,0.18107966457023067,0.2931494661921708,0.12855871886120995,0.9122117400419287,6,453
multi,1,RF,BBA,0.2,0.6079664570230608,0.5019005057596536,0.35246331236897277,0.2346704156213944,0.2555031446540881,0.4110320284697509,0.08852313167259787,0.9122117400419287,6,453
multi,1,RF,DBA-style,0.2,0.6079664570230608,0.5019005057596536,0.6053459119496856,0.4986859571090185,0.00262054507337528,0.0035587188612099642,0.0,0.9122117400419287,6,453
