task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
binary,DT,BBA,0.05,0.8405398322851153,0.8410630409547398,0.07560272536687632,0.09132992998608762,0.764937106918239,0.8665448188980498,0.8665448188980498,0.9006158280922432,263.0
binary,DT,BBA,0.1,0.8405398322851153,0.8410630409547398,0.08759171907756813,0.10376964108689389,0.7529481132075472,0.8454511097514124,0.8454511097514124,0.9006158280922432,263.0
binary,DT,BBA,0.2,0.8405398322851153,0.8410630409547398,0.09440513626834382,0.1104387610926772,0.7461346960167715,0.8334058446409798,0.8334058446409798,0.9006158280922432,263.0
binary,DT,BBA,0.3,0.8405398322851153,0.8410630409547398,0.10423218029350105,0.12021875977454834,0.7363076519916143,0.8160502248880073,0.8160502248880073,0.9006158280922432,263.0
binary,DT,DBA-style,0.05,0.8405398322851153,0.8410630409547398,0.30562106918238996,0.3007512707684847,0.5349187631027255,0.4609841770417656,0.4609841770417656,0.9006158280922432,263.0
binary,DT,DBA-style,0.1,0.8405398322851153,0.8410630409547398,0.29992138364779874,0.2960665783048445,0.5406184486373166,0.4706954762433786,0.4706954762433786,0.9006158280922432,263.0
binary,DT,DBA-style,0.2,0.8405398322851153,0.8410630409547398,0.27856394129979034,0.2798342521574821,0.561975890985325,0.5083239357036181,0.5083239357036181,0.9006158280922432,263.0
binary,DT,DBA-style,0.3,0.8405398322851153,0.8410630409547398,0.2655922431865828,0.26934125288627325,0.5749475890985325,0.5311816142672109,0.5311816142672109,0.9006158280922432,263.0
binary,DT,FGSM-SNN,0.05,0.8405398322851153,0.8410630409547398,0.6451781970649896,0.5772750976912269,0.19536163522012578,0.11966075264033814,0.11966075264033814,0.9006158280922432,263.0
binary,DT,FGSM-SNN,0.1,0.8405398322851153,0.8410630409547398,0.6383647798742138,0.5690410281706536,0.2021750524109015,0.11886562861085527,0.11886562861085527,0.9006158280922432,263.0
binary,DT,FGSM-SNN,0.2,0.8405398322851153,0.8410630409547398,0.5941430817610063,0.5063314265794856,0.24639675052410903,0.133126992197242,0.133126992197242,0.9006158280922432,263.0
binary,DT,FGSM-SNN,0.3,0.8405398322851153,0.8410630409547398,0.5940775681341719,0.5068393550547649,0.2464622641509434,0.13313120886684962,0.13313120886684962,0.9006158280922432,263.0
binary,DT,PGD-10-SNN,0.05,0.8405398322851153,0.8410630409547398,0.667059748427673,0.6078664648214624,0.17348008385744237,0.10632237719882316,0.10632237719882316,0.9006158280922432,263.0
binary,DT,PGD-10-SNN,0.1,0.8405398322851153,0.8410630409547398,0.6483228511530399,0.5981146418965623,0.1922169811320755,0.11857917564907278,0.11857917564907278,0.9006158280922432,263.0
binary,DT,PGD-10-SNN,0.2,0.8405398322851153,0.8410630409547398,0.6534329140461216,0.5906588095690817,0.18710691823899375,0.12940193858787297,0.12940193858787297,0.9006158280922432,263.0
binary,DT,PGD-10-SNN,0.3,0.8405398322851153,0.8410630409547398,0.6732180293501048,0.6144415525040368,0.16732180293501053,0.09887517941361737,0.09887517941361737,0.9006158280922432,263.0
binary,DT,PGD-20-SNN,0.05,0.8405398322851153,0.8410630409547398,0.64937106918239,0.590669462584298,0.19116876310272543,0.12283961670175955,0.12283961670175955,0.9006158280922432,263.0
binary,DT,PGD-20-SNN,0.1,0.8405398322851153,0.8410630409547398,0.6745283018867925,0.6175070945881508,0.1660115303983229,0.11238850584777768,0.11238850584777768,0.9006158280922432,263.0
binary,DT,PGD-20-SNN,0.2,0.8405398322851153,0.8410630409547398,0.6694182389937107,0.6059626693402337,0.17112159329140464,0.10444900154020934,0.10444900154020934,0.9006158280922432,263.0
binary,DT,PGD-20-SNN,0.3,0.8405398322851153,0.8410630409547398,0.6709905660377358,0.6111830189176112,0.1695492662473795,0.09848085123297656,0.09848085123297656,0.9006158280922432,263.0
binary,LightGBM,BBA,0.05,0.8616352201257862,0.8621906732602809,0.10672169811320754,0.12495077623807155,0.7549135220125787,0.8144663833353469,0.8144663833353469,0.9263626834381551,263.0
binary,LightGBM,BBA,0.1,0.8616352201257862,0.8621906732602809,0.0777646750524109,0.09295498732151088,0.7838705450733753,0.8647172855688599,0.8647172855688599,0.9263626834381551,263.0
binary,LightGBM,BBA,0.2,0.8616352201257862,0.8621906732602809,0.04684224318658281,0.05775742331853748,0.8147929769392034,0.9184918303398278,0.9184918303398278,0.9263626834381551,263.0
binary,LightGBM,BBA,0.3,0.8616352201257862,0.8621906732602809,0.038325471698113206,0.04741878891831794,0.823309748427673,0.9332514246025726,0.9332514246025726,0.9263626834381551,263.0
binary,LightGBM,DBA-style,0.05,0.8616352201257862,0.8621906732602809,0.3806996855345912,0.3597531907193537,0.480935534591195,0.3403083607308205,0.3403083607308205,0.9263626834381551,263.0
binary,LightGBM,DBA-style,0.1,0.8616352201257862,0.8621906732602809,0.3801755765199161,0.3593415354274751,0.48145964360587,0.34110480711920527,0.34110480711920527,0.9263626834381551,263.0
binary,LightGBM,DBA-style,0.2,0.8616352201257862,0.8621906732602809,0.37912735849056606,0.3585708856802101,0.48250786163522014,0.34281336965412174,0.34281336965412174,0.9263626834381551,263.0
binary,LightGBM,DBA-style,0.3,0.8616352201257862,0.8621906732602809,0.3756551362683438,0.3561925016342162,0.48598008385744235,0.34886648361291306,0.34886648361291306,0.9263626834381551,263.0
binary,LightGBM,FGSM-SNN,0.05,0.8616352201257862,0.8621906732602809,0.5993841719077568,0.4949432699832876,0.26225104821802936,0.08052137937317777,0.08052137937317777,0.9263626834381551,263.0
binary,LightGBM,FGSM-SNN,0.1,0.8616352201257862,0.8621906732602809,0.567479035639413,0.4770439502032167,0.29415618448637315,0.13349433585110732,0.13349433585110732,0.9263626834381551,263.0
binary,LightGBM,FGSM-SNN,0.2,0.8616352201257862,0.8621906732602809,0.5560141509433962,0.47069102722388123,0.30562106918238996,0.1556700931487519,0.1556700931487519,0.9263626834381551,263.0
binary,LightGBM,FGSM-SNN,0.3,0.8616352201257862,0.8621906732602809,0.5246331236897275,0.4493644632695545,0.3370020964360587,0.2087603051281199,0.2087603051281199,0.9263626834381551,263.0
binary,LightGBM,PGD-10-SNN,0.05,0.8616352201257862,0.8621906732602809,0.5939465408805031,0.49346742844180275,0.26768867924528306,0.08480614616152082,0.08480614616152082,0.9263626834381551,263.0
binary,LightGBM,PGD-10-SNN,0.1,0.8616352201257862,0.8621906732602809,0.5471698113207547,0.46265057823237976,0.31446540880503143,0.1456668913742309,0.1456668913742309,0.9263626834381551,263.0
binary,LightGBM,PGD-10-SNN,0.2,0.8616352201257862,0.8621906732602809,0.6033805031446541,0.490857792089482,0.2582547169811321,0.07207176782794461,0.07207176782794461,0.9263626834381551,263.0
binary,LightGBM,PGD-10-SNN,0.3,0.8616352201257862,0.8621906732602809,0.6082940251572327,0.49320237213473944,0.25334119496855345,0.06478024509517624,0.06478024509517624,0.9263626834381551,263.0
binary,LightGBM,PGD-20-SNN,0.05,0.8616352201257862,0.8621906732602809,0.5961740041928721,0.4947544722560736,0.26546121593291405,0.08889133983522976,0.08889133983522976,0.9263626834381551,263.0
binary,LightGBM,PGD-20-SNN,0.1,0.8616352201257862,0.8621906732602809,0.5826781970649895,0.48128667757825516,0.27895702306079667,0.10786244795273642,0.10786244795273642,0.9263626834381551,263.0
binary,LightGBM,PGD-20-SNN,0.2,0.8616352201257862,0.8621906732602809,0.602856394129979,0.4917222864459623,0.2587788259958071,0.07631435320171759,0.07631435320171759,0.9263626834381551,263.0
binary,LightGBM,PGD-20-SNN,0.3,0.8616352201257862,0.8621906732602809,0.5949292452830188,0.48676804123198825,0.2667059748427673,0.0874947709099612,0.0874947709099612,0.9263626834381551,263.0
binary,RF,BBA,0.05,0.8535770440251572,0.853329945535914,0.4769392033542977,0.4209661177188797,0.37663784067085954,0.17905567924537336,0.17905567924537336,0.9107704402515724,263.0
binary,RF,BBA,0.1,0.8535770440251572,0.853329945535914,0.48028039832285113,0.42264505450772083,0.3732966457023061,0.1728332821162443,0.1728332821162443,0.9107704402515724,263.0
binary,RF,BBA,0.2,0.8535770440251572,0.853329945535914,0.47471174004192873,0.41938022806445485,0.37886530398322854,0.18245359559782992,0.18245359559782992,0.9107704402515724,263.0
binary,RF,BBA,0.3,0.8535770440251572,0.853329945535914,0.4739255765199161,0.4189085170403264,0.3796514675052411,0.18381000277600773,0.18381000277600773,0.9107704402515724,263.0
binary,RF,DBA-style,0.05,0.8535770440251572,0.853329945535914,0.8013626834381551,0.8005582980417725,0.0522143605870021,0.03927075129942179,0.03927075129942179,0.9107704402515724,263.0
binary,RF,DBA-style,0.1,0.8535770440251572,0.853329945535914,0.8010351153039832,0.8002135105878703,0.052541928721174,0.039381846154671225,0.039381846154671225,0.9107704402515724,263.0
binary,RF,DBA-style,0.2,0.8535770440251572,0.853329945535914,0.7999213836477987,0.79903479790761,0.0536556603773585,0.03960877031745653,0.03960877031745653,0.9107704402515724,263.0
binary,RF,DBA-style,0.3,0.8535770440251572,0.853329945535914,0.7992007337526206,0.7983061811019572,0.05437631027253667,0.04017306324670982,0.04017306324670982,0.9107704402515724,263.0
binary,RF,FGSM-SNN,0.05,0.8535770440251572,0.853329945535914,0.5822196016771488,0.5157728960808116,0.2713574423480084,0.11822245142740992,0.11822245142740992,0.9107704402515724,263.0
binary,RF,FGSM-SNN,0.1,0.8535770440251572,0.853329945535914,0.561975890985325,0.4734781604473937,0.2916011530398323,0.11403600625698489,0.11403600625698489,0.9107704402515724,263.0
binary,RF,FGSM-SNN,0.2,0.8535770440251572,0.853329945535914,0.576912997903564,0.4785633841904698,0.2766640461215933,0.0983154215206686,0.0983154215206686,0.9107704402515724,263.0
binary,RF,FGSM-SNN,0.3,0.8535770440251572,0.853329945535914,0.5792059748427674,0.4790877013232748,0.27437106918238996,0.09431123189874767,0.09431123189874767,0.9107704402515724,263.0
binary,RF,PGD-10-SNN,0.05,0.8535770440251572,0.853329945535914,0.5709512578616353,0.503063020587595,0.28262578616352196,0.1265143722354196,0.1265143722354196,0.9107704402515724,263.0
binary,RF,PGD-10-SNN,0.1,0.8535770440251572,0.853329945535914,0.5862814465408805,0.48589984851122964,0.2672955974842767,0.08218930341261271,0.08218930341261271,0.9107704402515724,263.0
binary,RF,PGD-10-SNN,0.2,0.8535770440251572,0.853329945535914,0.5967636268343816,0.4892816498110289,0.25681341719077566,0.06781395726411699,0.06781395726411699,0.9107704402515724,263.0
binary,RF,PGD-10-SNN,0.3,0.8535770440251572,0.853329945535914,0.6041666666666666,0.4939489388731557,0.24941037735849061,0.05878601697325487,0.05878601697325487,0.9107704402515724,263.0
binary,RF,PGD-20-SNN,0.05,0.8535770440251572,0.853329945535914,0.5702961215932913,0.5014543269738172,0.28328092243186587,0.12571525369418324,0.12571525369418324,0.9107704402515724,263.0
binary,RF,PGD-20-SNN,0.1,0.8535770440251572,0.853329945535914,0.5862814465408805,0.4823269334399522,0.2672955974842768,0.08074401583612587,0.08074401583612587,0.9107704402515724,263.0
binary,RF,PGD-20-SNN,0.2,0.8535770440251572,0.853329945535914,0.6019392033542977,0.4916005351253867,0.25163784067085954,0.06297782763557763,0.06297782763557763,0.9107704402515724,263.0
binary,RF,PGD-20-SNN,0.3,0.8535770440251572,0.853329945535914,0.6044942348008386,0.49327695082179274,0.24908280922431864,0.05687643760926024,0.05687643760926024,0.9107704402515724,263.0
binary,XGBoost,BBA,0.05,0.8647143605870021,0.8651080046211289,0.05771750524109015,0.0708764288718708,0.8069968553459119,0.9003161199641281,0.9003161199641281,0.911229035639413,263.0
binary,XGBoost,BBA,0.1,0.8647143605870021,0.8651080046211289,0.04258385744234801,0.05263627500453621,0.8221305031446541,0.9264015726147226,0.9264015726147226,0.911229035639413,263.0
binary,XGBoost,BBA,0.2,0.8647143605870021,0.8651080046211289,0.03537735849056604,0.043845163644352925,0.8293370020964361,0.9388315991034462,0.9388315991034462,0.911229035639413,263.0
binary,XGBoost,BBA,0.3,0.8647143605870021,0.8651080046211289,0.039308176100628936,0.047513938951146625,0.8254061844863732,0.931979603730819,0.931979603730819,0.911229035639413,263.0
binary,XGBoost,DBA-style,0.05,0.8647143605870021,0.8651080046211289,0.42780398322851154,0.3940368354452591,0.4369103773584906,0.2715746421571267,0.2715746421571267,0.911229035639413,263.0
binary,XGBoost,DBA-style,0.1,0.8647143605870021,0.8651080046211289,0.43062106918238996,0.39558962483260085,0.43409329140461217,0.26603633721095643,0.26603633721095643,0.911229035639413,263.0
binary,XGBoost,DBA-style,0.2,0.8647143605870021,0.8651080046211289,0.4259696016771488,0.39257297246164835,0.43874475890985326,0.273841157003862,0.273841157003862,0.911229035639413,263.0
binary,XGBoost,DBA-style,0.3,0.8647143605870021,0.8651080046211289,0.4254454926624738,0.39220580319130893,0.43926886792452835,0.2747445523312834,0.2747445523312834,0.911229035639413,263.0
binary,XGBoost,FGSM-SNN,0.05,0.8647143605870021,0.8651080046211289,0.4528301886792453,0.4039100203952572,0.41188417190775684,0.30475203337121176,0.30475203337121176,0.911229035639413,263.0
binary,XGBoost,FGSM-SNN,0.1,0.8647143605870021,0.8651080046211289,0.43193134171907754,0.3877823736383918,0.43278301886792453,0.34472978450980185,0.34472978450980185,0.911229035639413,263.0
binary,XGBoost,FGSM-SNN,0.2,0.8647143605870021,0.8651080046211289,0.4291142557651991,0.3855864523208744,0.43560010482180295,0.3450633167482226,0.3450633167482226,0.911229035639413,263.0
binary,XGBoost,FGSM-SNN,0.3,0.8647143605870021,0.8651080046211289,0.4068396226415094,0.37072312005979946,0.4578747379454927,0.3838614011849964,0.3838614011849964,0.911229035639413,263.0
binary,XGBoost,PGD-10-SNN,0.05,0.8647143605870021,0.8651080046211289,0.4368448637316562,0.40295863335444015,0.4278694968553459,0.3329901287091607,0.3329901287091607,0.911229035639413,263.0
