task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.7822327044025157,0.7802121745496245,0.33254716981132076,0.27211037801675647,0.4496855345911949,0.44721788871554863,0.1482059282371295,0.8624213836477987,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.7822327044025157,0.7802121745496245,0.33726415094339623,0.30203547717968,0.44496855345911945,0.48153926157046284,0.17784711388455537,0.8624213836477987,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.7822327044025157,0.7802121745496245,0.34329140461215935,0.3099707075758303,0.43894129979035634,0.47321892875715027,0.18200728029121166,0.8624213836477987,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.7822327044025157,0.7802121745496245,0.19444444444444445,0.16943179306232933,0.5877882599580713,0.6188247529901196,0.27249089963598544,0.8624213836477987,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.7822327044025157,0.7802121745496245,0.69916142557652,0.6965620268493025,0.08307127882599574,0.093603744149766,0.06344253770150807,0.8624213836477987,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.7822327044025157,0.7802121745496245,0.3398846960167715,0.24152883116126495,0.4423480083857442,0.46905876235049404,0.08476339053562143,0.8624213836477987,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.7822327044025157,0.7802121745496245,0.3810272536687631,0.3094068637033823,0.4012054507337526,0.46957878315132606,0.1669266770670827,0.8624213836477987,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.7822327044025157,0.7802121745496245,0.3839098532494759,0.3112905084747802,0.3983228511530398,0.4638585543421737,0.16640665626625065,0.8624213836477987,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.7822327044025157,0.7802121745496245,0.19339622641509435,0.15817193490845996,0.5888364779874213,0.6167446697867914,0.23244929797191888,0.8624213836477987,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.7822327044025157,0.7802121745496245,0.7028301886792453,0.6999992615005175,0.0794025157232704,0.08632345293811752,0.06292251690067603,0.8624213836477987,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.7822327044025157,0.7802121745496245,0.33464360587002095,0.22793776240478467,0.44758909853249473,0.4789391575663027,0.0717628705148206,0.8624213836477987,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.7822327044025157,0.7802121745496245,0.360062893081761,0.29004555948609145,0.4221698113207547,0.48933957358294333,0.17576703068122726,0.8624213836477987,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.7822327044025157,0.7802121745496245,0.36556603773584906,0.2974955648707872,0.41666666666666663,0.4825793031721269,0.18356734269370775,0.8624213836477987,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.7822327044025157,0.7802121745496245,0.1640461215932914,0.12611021394991181,0.6181865828092243,0.6744669786791472,0.24700988039521582,0.8624213836477987,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.7822327044025157,0.7802121745496245,0.7015199161425576,0.6986881015584256,0.08071278825995809,0.08684347373894956,0.06344253770150807,0.8624213836477987,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.7822327044025157,0.7802121745496245,0.31839622641509435,0.2072045274189159,0.46383647798742134,0.5101404056162246,0.06500260010400416,0.8624213836477987,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.7822327044025157,0.7802121745496245,0.35639412997903563,0.2832709230518547,0.42583857442348005,0.4784191367654706,0.13416536661466458,0.8624213836477987,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.3,0.7822327044025157,0.7802121745496245,0.3587526205450734,0.2865755212399506,0.4234800838574423,0.4799791991679667,0.14092563702548103,0.8624213836477987,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.3,0.7822327044025157,0.7802121745496245,0.16247379454926625,0.12067128182948769,0.6197589098532494,0.6775871034841394,0.23244929797191888,0.8624213836477987,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.3,0.7822327044025157,0.7802121745496245,0.700733752620545,0.6979326063121251,0.08149895178197064,0.08788351534061363,0.06344253770150807,0.8624213836477987,6,263,,,,,,,175.0
multi,1,DT,FGSM-SNN,0.05,0.7612683438155137,0.7591137956738704,0.5186058700209644,0.5125579346585055,0.2426624737945493,0.38636363636363635,0.18398268398268397,0.8561320754716981,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.05,0.7612683438155137,0.7591137956738704,0.5662997903563941,0.5631186336406808,0.19496855345911956,0.4101731601731602,0.1893939393939394,0.8561320754716981,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.05,0.7612683438155137,0.7591137956738704,0.5767819706498952,0.5733476713847602,0.18448637316561844,0.41233766233766234,0.19101731601731603,0.8561320754716981,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.05,0.7612683438155137,0.7591137956738704,0.005765199161425576,0.005268699339495976,0.7555031446540881,0.9880952380952381,0.4707792207792208,0.8561320754716981,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.05,0.7612683438155137,0.7591137956738704,0.14386792452830188,0.13165068669326047,0.6174004192872118,0.9247835497835498,0.4875541125541126,0.8561320754716981,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.1,0.7612683438155137,0.7591137956738704,0.49266247379454925,0.49196171278279427,0.2686058700209644,0.413961038961039,0.1774891774891775,0.8561320754716981,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.1,0.7612683438155137,0.7591137956738704,0.5450733752620545,0.5470285470234753,0.2161949685534592,0.4274891774891775,0.17207792207792208,0.8561320754716981,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.1,0.7612683438155137,0.7591137956738704,0.5610587002096437,0.5626008255323349,0.20020964360587,0.41883116883116883,0.16774891774891776,0.8561320754716981,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.1,0.7612683438155137,0.7591137956738704,0.0,0.0,0.7612683438155137,1.0,0.49837662337662336,0.8561320754716981,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.1,0.7612683438155137,0.7591137956738704,0.13731656184486374,0.1250468444827118,0.6239517819706499,0.9361471861471862,0.4972943722943723,0.8561320754716981,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.2,0.7612683438155137,0.7591137956738704,0.405398322851153,0.4192389947653315,0.35587002096436066,0.5335497835497836,0.1737012987012987,0.8561320754716981,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.2,0.7612683438155137,0.7591137956738704,0.4470649895178197,0.46682265730149514,0.31420335429769397,0.5984848484848485,0.14772727272727273,0.8561320754716981,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.2,0.7612683438155137,0.7591137956738704,0.43763102725366876,0.45369051174198965,0.3236373165618449,0.6141774891774892,0.15422077922077923,0.8561320754716981,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.2,0.7612683438155137,0.7591137956738704,0.0,0.0,0.7612683438155137,1.0,0.4989177489177489,0.8561320754716981,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.2,0.7612683438155137,0.7591137956738704,0.13364779874213836,0.12167674318849969,0.6276205450733753,0.9388528138528138,0.5005411255411255,0.8561320754716981,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.3,0.7612683438155137,0.7591137956738704,0.34355345911949686,0.3564089663842351,0.4177148846960168,0.545995670995671,0.12878787878787878,0.8561320754716981,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.3,0.7612683438155137,0.7591137956738704,0.3519392033542977,0.3745136417493494,0.409329140461216,0.6179653679653679,0.15854978354978355,0.8561320754716981,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.3,0.7612683438155137,0.7591137956738704,0.3508909853249476,0.3731593772106832,0.41037735849056606,0.6277056277056277,0.16071428571428573,0.8561320754716981,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.3,0.7612683438155137,0.7591137956738704,0.0,0.0,0.7612683438155137,1.0,0.5054112554112554,0.8561320754716981,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.3,0.7612683438155137,0.7591137956738704,0.06944444444444445,0.06886296098439597,0.6918238993710693,0.9431818181818182,0.49567099567099565,0.8561320754716981,6,263,,,,,,,105.0
multi,1,XGBoost,FGSM-SNN,0.05,0.7919287211740041,0.7899499195380439,0.22562893081761007,0.1968859313109206,0.5662997903563941,0.6652977412731006,0.03234086242299795,0.8694968553459119,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.05,0.7919287211740041,0.7899499195380439,0.36346960167714887,0.3704339551934878,0.4284591194968553,0.6170431211498973,0.04620123203285421,0.8694968553459119,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.05,0.7919287211740041,0.7899499195380439,0.3613731656184486,0.36603749009756936,0.4305555555555555,0.6237166324435318,0.0513347022587269,0.8694968553459119,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.05,0.7919287211740041,0.7899499195380439,0.0034067085953878406,0.0037365759392964312,0.7885220125786163,0.9933264887063655,0.3059548254620123,0.8694968553459119,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.05,0.7919287211740041,0.7899499195380439,0.22274633123689727,0.19299544073436503,0.5691823899371069,0.5718685831622177,0.23767967145790556,0.8694968553459119,6,263,,,,,,,160.0
multi,1,XGBoost,FGSM-SNN,0.1,0.7919287211740041,0.7899499195380439,0.17636268343815514,0.14891508830334493,0.615566037735849,0.731006160164271,0.028234086242299793,0.8694968553459119,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.1,0.7919287211740041,0.7899499195380439,0.21619496855345913,0.21401999239398367,0.575733752620545,0.7068788501026694,0.04671457905544148,0.8694968553459119,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.1,0.7919287211740041,0.7899499195380439,0.2028301886792453,0.19682749343568998,0.5890985324947589,0.7120123203285421,0.04209445585215606,0.8694968553459119,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.1,0.7919287211740041,0.7899499195380439,0.0015723270440251573,0.0020081813649439973,0.7903563941299789,0.9969199178644764,0.2464065708418891,0.8694968553459119,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.1,0.7919287211740041,0.7899499195380439,0.22824947589098532,0.197743331420416,0.5636792452830188,0.561088295687885,0.2268993839835729,0.8694968553459119,6,263,,,,,,,160.0
multi,1,XGBoost,FGSM-SNN,0.2,0.7919287211740041,0.7899499195380439,0.14544025157232704,0.11318784603213988,0.646488469601677,0.75564681724846,0.038501026694045176,0.8694968553459119,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.2,0.7919287211740041,0.7899499195380439,0.09984276729559749,0.10019413972205674,0.6920859538784067,0.8490759753593429,0.055441478439425054,0.8694968553459119,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.2,0.7919287211740041,0.7899499195380439,0.09879454926624738,0.10171422008175951,0.6931341719077567,0.8583162217659137,0.044661190965092405,0.8694968553459119,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.2,0.7919287211740041,0.7899499195380439,0.0007861635220125787,0.0010325611018231033,0.7911425576519916,0.9984599589322382,0.23819301848049282,0.8694968553459119,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.2,0.7919287211740041,0.7899499195380439,0.22667714884696016,0.19590862344205193,0.5652515723270439,0.5641683778234087,0.22381930184804927,0.8694968553459119,6,263,,,,,,,160.0
multi,1,XGBoost,FGSM-SNN,0.3,0.7919287211740041,0.7899499195380439,0.13417190775681342,0.10693712865327758,0.6577568134171907,0.7761806981519507,0.043634496919917866,0.8694968553459119,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.3,0.7919287211740041,0.7899499195380439,0.09669811320754718,0.09022112969908358,0.695230607966457,0.8521560574948666,0.06519507186858316,0.8694968553459119,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.3,0.7919287211740041,0.7899499195380439,0.09407756813417191,0.08959566578247993,0.6978511530398323,0.8542094455852156,0.062114989733059546,0.8694968553459119,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.3,0.7919287211740041,0.7899499195380439,0.0005241090146750524,0.0006066661240816983,0.7914046121593291,0.9989733059548255,0.2720739219712526,0.8694968553459119,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.3,0.7919287211740041,0.7899499195380439,0.225104821802935,0.1971855059593856,0.5668238993710691,0.5672484599589322,0.26540041067761805,0.8694968553459119,6,263,,,,,,,160.0
multi,1,LightGBM,FGSM-SNN,0.05,0.7914046121593291,0.7891837486304514,0.4659329140461216,0.43411502818457526,0.32547169811320753,0.49922560660815696,0.10480123902942695,0.8797169811320755,6,263,,,,,,,
multi,1,LightGBM,PGD-10-SNN,0.05,0.7914046121593291,0.7891837486304514,0.3477463312368973,0.3133166251022059,0.4436582809224318,0.5591120289106867,0.04388229220443986,0.8797169811320755,6,263,10.0,3.0,0.1,,,,
multi,1,LightGBM,PGD-20-SNN,0.05,0.7914046121593291,0.7891837486304514,0.35351153039832284,0.31993879586855445,0.4378930817610063,0.537429013939081,0.04078471863706763,0.8797169811320755,6,263,20.0,17.0,0.01764705882352941,,,,
multi,1,LightGBM,BBA,0.05,0.7914046121593291,0.7891837486304514,0.013888888888888888,0.010997490164156833,0.7775157232704403,0.9726381001548787,0.3830665978316985,0.8797169811320755,6,263,,,,200.0,130.0,120.0,
multi,1,LightGBM,DBA-style,0.05,0.7914046121593291,0.7891837486304514,0.20545073375262055,0.18021641726079596,0.5859538784067085,0.5957666494579247,0.35622096024780586,0.8797169811320755,6,263,,,,,,,35.0
multi,1,LightGBM,FGSM-SNN,0.1,0.7914046121593291,0.7891837486304514,0.41850104821802936,0.389035352899472,0.37290356394129975,0.57769747031492,0.19463087248322147,0.8797169811320755,6,263,,,,,,,
multi,1,LightGBM,PGD-10-SNN,0.1,0.7914046121593291,0.7891837486304514,0.2990041928721174,0.27752677660741354,0.49240041928721173,0.6329375322663914,0.0867320598864223,0.8797169811320755,6,263,10.0,3.0,0.1,,,,
multi,1,LightGBM,PGD-20-SNN,0.1,0.7914046121593291,0.7891837486304514,0.33542976939203356,0.31519649318573795,0.45597484276729555,0.5921528136293237,0.061951471347444505,0.8797169811320755,6,263,20.0,17.0,0.01764705882352941,,,,
multi,1,LightGBM,BBA,0.1,0.7914046121593291,0.7891837486304514,0.0031446540880503146,0.0026894931435550657,0.7882599580712788,0.9938048528652556,0.5038719669592153,0.8797169811320755,6,263,,,,200.0,130.0,120.0,
multi,1,LightGBM,DBA-style,0.1,0.7914046121593291,0.7891837486304514,0.20885744234800838,0.18313350910674733,0.5825471698113207,0.5890552400619514,0.34847702632937533,0.8797169811320755,6,263,,,,,,,35.0
multi,1,LightGBM,FGSM-SNN,0.2,0.7914046121593291,0.7891837486304514,0.27935010482180295,0.24589156020718564,0.5120545073375262,0.6530717604543108,0.15694372741352608,0.8797169811320755,6,263,,,,,,,
multi,1,LightGBM,PGD-10-SNN,0.2,0.7914046121593291,0.7891837486304514,0.22536687631027252,0.21070661240635893,0.5660377358490566,0.6675271037687145,0.060918946824987094,0.8797169811320755,6,263,10.0,3.0,0.1,,,,
multi,1,LightGBM,PGD-20-SNN,0.2,0.7914046121593291,0.7891837486304514,0.22327044025157233,0.19990219557129027,0.5681341719077568,0.6520392359318534,0.08053691275167785,0.8797169811320755,6,263,20.0,17.0,0.01764705882352941,,,,
multi,1,LightGBM,BBA,0.2,0.7914046121593291,0.7891837486304514,0.001310272536687631,0.0010711777372101213,0.7900943396226415,0.9974186886938565,0.3784202374806402,0.8797169811320755,6,263,,,,200.0,130.0,120.0,
multi,1,LightGBM,DBA-style,0.2,0.7914046121593291,0.7891837486304514,0.1370545073375262,0.12744048947308442,0.6543501048218029,0.7305110996386164,0.357769747031492,0.8797169811320755,6,263,,,,,,,35.0
multi,1,LightGBM,FGSM-SNN,0.3,0.7914046121593291,0.7891837486304514,0.16876310272536688,0.1740881608189793,0.6226415094339622,0.8559628291171916,0.4243675787299948,0.8797169811320755,6,263,,,,,,,
multi,1,LightGBM,PGD-10-SNN,0.3,0.7914046121593291,0.7891837486304514,0.12473794549266247,0.11316894063923089,0.6666666666666666,0.8043366029943211,0.11151264842540011,0.8797169811320755,6,263,10.0,3.0,0.1,,,,
multi,1,LightGBM,PGD-20-SNN,0.3,0.7914046121593291,0.7891837486304514,0.19103773584905662,0.1798026401688705,0.6003668763102725,0.7289623128549303,0.1461022199277233,0.8797169811320755,6,263,20.0,17.0,0.01764705882352941,,,,
multi,1,LightGBM,BBA,0.3,0.7914046121593291,0.7891837486304514,0.0,0.0,0.7914046121593291,1.0,0.6066081569437274,0.8797169811320755,6,263,,,,200.0,130.0,120.0,
multi,1,LightGBM,DBA-style,0.3,0.7914046121593291,0.7891837486304514,0.13469601677148846,0.12505782389230743,0.6567085953878407,0.7351574599896747,0.3588022715539494,0.8797169811320755,6,263,,,,,,,35.0
multi,2,RF,FGSM-SNN,0.05,0.7741090146750524,0.7724914480646264,0.3532494758909853,0.2623219732333079,0.4208595387840671,0.45536185948230323,0.047015319598520865,0.8574423480083857,6,263,,,,,,,
multi,2,RF,PGD-10-SNN,0.05,0.7741090146750524,0.7724914480646264,0.4276729559748428,0.364134797779307,0.34643605870020966,0.3555203380876915,0.07765451664025357,0.8574423480083857,6,263,10.0,10.0,0.03,,,,
multi,2,RF,PGD-20-SNN,0.05,0.7741090146750524,0.7724914480646264,0.4229559748427673,0.35565664581105844,0.35115303983228513,0.35974643423137875,0.08029582673005811,0.8574423480083857,6,263,20.0,19.0,0.015789473684210527,,,,
multi,2,RF,BBA,0.05,0.7741090146750524,0.7724914480646264,0.17452830188679244,0.14243862020713596,0.59958071278826,0.6513470681458003,0.25303750660327523,0.8574423480083857,6,263,,,,170.0,280.0,200.0,
multi,2,RF,DBA-style,0.05,0.7741090146750524,0.7724914480646264,0.7009958071278826,0.6989073528849761,0.07311320754716988,0.0861067089276281,0.05758055995773904,0.8574423480083857,6,263,,,,,,,175.0
multi,2,RF,FGSM-SNN,0.1,0.7741090146750524,0.7724914480646264,0.3333333333333333,0.22408968082869576,0.4407756813417191,0.48388800845219226,0.03592181722134179,0.8574423480083857,6,263,,,,,,,
multi,2,RF,PGD-10-SNN,0.1,0.7741090146750524,0.7724914480646264,0.41457023060796644,0.3348623744274738,0.359538784067086,0.33861595351294244,0.08927628103539356,0.8574423480083857,6,263,10.0,10.0,0.03,,,,
multi,2,RF,PGD-20-SNN,0.1,0.7741090146750524,0.7724914480646264,0.42374213836477986,0.3447418205074153,0.3503668763102726,0.3359746434231379,0.09138932910723718,0.8574423480083857,6,263,20.0,19.0,0.015789473684210527,,,,
