task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
multi,DT,BBA,0.05,0.7767950733752621,0.7755910780910701,0.003079140461215933,0.0031375190641266815,0.7737159329140462,0.9938183233929647,0.43385782395838257,0.858359538784067,263.0
multi,DT,BBA,0.1,0.7767950733752621,0.7755910780910701,0.0009827044025157233,0.001050206903471208,0.7758123689727463,0.9980392669834621,0.40095579130315306,0.858359538784067,263.0
multi,DT,BBA,0.2,0.7767950733752621,0.7755910780910701,0.000589622641509434,0.0006697421631068257,0.7762054507337527,0.9988241546556398,0.3384781689244384,0.858359538784067,263.0
multi,DT,BBA,0.3,0.7767950733752621,0.7755910780910701,0.0,0.0,0.7767950733752621,1.0,0.33656129619707686,0.858359538784067,263.0
multi,DT,DBA-style,0.05,0.7767950733752621,0.7755910780910701,0.04546645702306079,0.04223694037312807,0.7313286163522013,0.9096040365012404,0.48361657377540596,0.858359538784067,263.0
multi,DT,DBA-style,0.1,0.7767950733752621,0.7755910780910701,0.024109014675052408,0.023785984135951028,0.7526860587002097,0.9520545696351801,0.482662764100273,0.858359538784067,263.0
multi,DT,DBA-style,0.2,0.7767950733752621,0.7755910780910701,0.017492138364779874,0.01705324544528287,0.7593029350104822,0.9652228416656587,0.49140810368547216,0.858359538784067,263.0
multi,DT,DBA-style,0.3,0.7767950733752621,0.7755910780910701,0.014871593291404613,0.015039562583439392,0.7619234800838575,0.9704397341359811,0.49111678664538716,0.858359538784067,263.0
multi,DT,FGSM-SNN,0.05,0.7767950733752621,0.7755910780910701,0.43730345911949686,0.420973210801895,0.33949161425576524,0.44003895815987515,0.07024326160595834,0.858359538784067,263.0
multi,DT,FGSM-SNN,0.1,0.7767950733752621,0.7755910780910701,0.40140199161425577,0.3858325511905676,0.3753930817610063,0.47264788533385116,0.07659323158014451,0.858359538784067,263.0
multi,DT,FGSM-SNN,0.2,0.7767950733752621,0.7755910780910701,0.37598270440251574,0.365746033168234,0.40081236897274636,0.5125996198666882,0.08416769452118156,0.858359538784067,263.0
multi,DT,FGSM-SNN,0.3,0.7767950733752621,0.7755910780910701,0.38148584905660377,0.37411897111540054,0.3953092243186583,0.5196531652481894,0.08570630907873077,0.858359538784067,263.0
multi,DT,PGD-10-SNN,0.05,0.7767950733752621,0.7755910780910701,0.3814203354297694,0.3726760396401191,0.39537473794549266,0.5268284455324186,0.0871085387014699,0.858359538784067,263.0
multi,DT,PGD-10-SNN,0.1,0.7767950733752621,0.7755910780910701,0.3605214884696017,0.3508317672698662,0.4162735849056604,0.5270161616871899,0.08741070727131091,0.858359538784067,263.0
multi,DT,PGD-10-SNN,0.2,0.7767950733752621,0.7755910780910701,0.341522536687631,0.326464154169547,0.43527253668763105,0.5409382877146055,0.073484648442438,0.858359538784067,263.0
multi,DT,PGD-10-SNN,0.3,0.7767950733752621,0.7755910780910701,0.30778301886792453,0.2874445454817936,0.4690120545073375,0.5981836925660865,0.11535050998881773,0.858359538784067,263.0
multi,DT,PGD-20-SNN,0.05,0.7767950733752621,0.7755910780910701,0.3905922431865828,0.38049098324551295,0.3862028301886793,0.5226408486024654,0.07304319736792245,0.858359538784067,263.0
multi,DT,PGD-20-SNN,0.1,0.7767950733752621,0.7755910780910701,0.3468946540880503,0.33332956839550654,0.4299004192872118,0.5399901438277557,0.09438642384851127,0.858359538784067,263.0
multi,DT,PGD-20-SNN,0.2,0.7767950733752621,0.7755910780910701,0.33929507337526205,0.3306315810520407,0.4375,0.5623378153993832,0.0807492016492189,0.858359538784067,263.0
multi,DT,PGD-20-SNN,0.3,0.7767950733752621,0.7755910780910701,0.31833071278826,0.3018006520303367,0.45846436058700213,0.5873423538533302,0.1217045589022456,0.858359538784067,263.0
multi,LightGBM,BBA,0.05,0.814727463312369,0.8129472803531919,0.021488469601677152,0.016571885170066043,0.7932389937106918,0.9585236880252542,0.26171782982264835,0.8931472746331237,263.0
multi,LightGBM,BBA,0.1,0.814727463312369,0.8129472803531919,0.015330188679245283,0.01165776734495272,0.7993972746331237,0.9703813488476247,0.21082646205318945,0.8931472746331237,263.0
multi,LightGBM,BBA,0.2,0.814727463312369,0.8129472803531919,0.01061320754716981,0.008241123522259433,0.8041142557651992,0.9794617626898702,0.19124107942172622,0.8931472746331237,263.0
multi,LightGBM,BBA,0.3,0.814727463312369,0.8129472803531919,0.007140985324947589,0.005768830872910011,0.8075864779874213,0.9861604875571356,0.21108858538136815,0.8931472746331237,263.0
multi,LightGBM,DBA-style,0.05,0.814727463312369,0.8129472803531919,0.19228249475890985,0.1537494732261137,0.6224449685534591,0.6350362250575541,0.250766943676173,0.8931472746331237,263.0
multi,LightGBM,DBA-style,0.1,0.814727463312369,0.8129472803531919,0.1910377358490566,0.1529646259506202,0.6236897274633124,0.6374183210027102,0.25039441005910124,0.8931472746331237,263.0
multi,LightGBM,DBA-style,0.2,0.814727463312369,0.8129472803531919,0.12781708595387842,0.10897936007702021,0.6869103773584906,0.7584506972405033,0.3187159975218679,0.8931472746331237,263.0
multi,LightGBM,DBA-style,0.3,0.814727463312369,0.8129472803531919,0.12762054507337528,0.10879249722414416,0.6871069182389937,0.7588270418031697,0.3187138422986337,0.8931472746331237,263.0
