task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.9295073375262054,0.9291211684137314,0.490041928721174,0.45694614869213007,0.4394654088050314,0.2746745065098698,0.2746745065098698,0.9326519916142557,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.9295073375262054,0.9291211684137314,0.5288259958071279,0.4735085493421107,0.40068134171907754,0.20537589248215035,0.20537589248215035,0.9326519916142557,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.9295073375262054,0.9291211684137314,0.5251572327044025,0.47118432191174703,0.4043501048218029,0.2095758084838303,0.2095758084838303,0.9326519916142557,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.9295073375262054,0.9291211684137314,0.3618972746331237,0.34622921867921713,0.5676100628930817,0.41999160016799664,0.41999160016799664,0.9326519916142557,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.9295073375262054,0.9291211684137314,0.8828616352201258,0.8815901573504442,0.04664570230607956,0.02645947081058379,0.02645947081058379,0.9326519916142557,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.9295073375262054,0.9291211684137314,0.445230607966457,0.41649941720542144,0.4842767295597484,0.3267534649307014,0.3267534649307014,0.9326519916142557,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.9295073375262054,0.9291211684137314,0.5332809224318659,0.47632071071381094,0.39622641509433953,0.20201595968080638,0.20201595968080638,0.9326519916142557,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.9295073375262054,0.9291211684137314,0.5322327044025157,0.47794377275647393,0.3972746331236897,0.20537589248215035,0.20537589248215035,0.9326519916142557,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.9295073375262054,0.9291211684137314,0.32049266247379454,0.3162312994283998,0.6090146750524108,0.4863502729945401,0.4863502729945401,0.9326519916142557,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.9295073375262054,0.9291211684137314,0.8818134171907757,0.8804790909022772,0.04769392033542974,0.02645947081058379,0.02645947081058379,0.9326519916142557,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.2,0.9295073375262054,0.9291211684137314,0.3946540880503145,0.3785742933030035,0.5348532494758909,0.3981520369592608,0.3981520369592608,0.9326519916142557,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.2,0.9295073375262054,0.9291211684137314,0.5385220125786163,0.4750472948410836,0.3909853249475891,0.1864762704745905,0.1864762704745905,0.9326519916142557,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.2,0.9295073375262054,0.9291211684137314,0.5374737945492662,0.4776412100547077,0.39203354297693915,0.19529609407811843,0.19529609407811843,0.9326519916142557,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.2,0.9295073375262054,0.9291211684137314,0.20780922431865828,0.22417606060151204,0.7216981132075471,0.6669466610667787,0.6669466610667787,0.9326519916142557,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.2,0.9295073375262054,0.9291211684137314,0.8820754716981132,0.8807312062418418,0.04743186582809222,0.026039479210415793,0.026039479210415793,0.9326519916142557,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.3,0.9295073375262054,0.9291211684137314,0.3697589098532495,0.359191218406705,0.5597484276729559,0.4372112557748845,0.4372112557748845,0.9326519916142557,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.3,0.9295073375262054,0.9291211684137314,0.5435010482180294,0.48299768525694947,0.38600628930817604,0.1881562368752625,0.1881562368752625,0.9326519916142557,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.3,0.9295073375262054,0.9291211684137314,0.5345911949685535,0.472906939733836,0.39491614255765195,0.19277614447711044,0.19277614447711044,0.9326519916142557,2,263,20.0,19.0,0.015789473684210527,,,,
