task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,FGSM-SNN,0.05,0.8398846960167715,0.8394961456196789,0.5953878406708596,0.5576794056177947,0.24449685534591192,0.14585232452142205,0.14585232452142205,0.9040880503144654,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.05,0.8398846960167715,0.8394961456196789,0.6496331236897275,0.5635655927549801,0.19025157232704404,0.04102096627164995,0.04102096627164995,0.9040880503144654,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.05,0.8398846960167715,0.8394961456196789,0.6514675052410901,0.5663248376867549,0.18841719077568142,0.03965360072926162,0.03965360072926162,0.9040880503144654,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.05,0.8398846960167715,0.8394961456196789,0.47562893081761004,0.4199657332667657,0.3642557651991615,0.17274384685505925,0.17274384685505925,0.9040880503144654,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.05,0.8398846960167715,0.8394961456196789,0.7817085953878407,0.7819160827704125,0.05817610062893086,0.059252506836827715,0.059252506836827715,0.9040880503144654,2,263,,,,,,,175.0
binary,1,RF,FGSM-SNN,0.1,0.8398846960167715,0.8394961456196789,0.6061320754716981,0.5560791588605414,0.2337526205450734,0.12260711030082042,0.12260711030082042,0.9040880503144654,2,263,,,,,,,
binary,1,RF,PGD-10-SNN,0.1,0.8398846960167715,0.8394961456196789,0.639937106918239,0.508892834825328,0.1999475890985325,0.013217866909753875,0.013217866909753875,0.9040880503144654,2,263,10.0,10.0,0.03,,,,
binary,1,RF,PGD-20-SNN,0.1,0.8398846960167715,0.8394961456196789,0.6396750524109015,0.5092243877542958,0.20020964360587,0.014585232452142206,0.014585232452142206,0.9040880503144654,2,263,20.0,19.0,0.015789473684210527,,,,
binary,1,RF,BBA,0.1,0.8398846960167715,0.8394961456196789,0.469601677148847,0.41634442560343565,0.37028301886792453,0.18322698268003645,0.18322698268003645,0.9040880503144654,2,263,,,,170.0,280.0,200.0,
binary,1,RF,DBA-style,0.1,0.8398846960167715,0.8394961456196789,0.7809224318658281,0.7810743508991909,0.05896226415094341,0.059252506836827715,0.059252506836827715,0.9040880503144654,2,263,,,,,,,175.0
